,Unnamed: 0,Unnamed: 0.1,Artist,Genres,Followers,Popularity,Songs,Length
757,1824,1824,Cinderella,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']",5721435,87,"['The Spins', 'Self Care', 'Good News', 'Weekend (feat. Miguel)', 'Blue World', 'Dang! (feat. Anderson .Paak)', 'Come Back to Earth', 'My Favorite Part', 'Ladders', 'Small Worlds']",10
758,1827,1827,Cirque du Soleil,"['circus', 'new age']",625189,66,"['Baby Blue (feat. Chance the Rapper)', 'Actin Crazy', 'Latin Grammys', 'Standing in the Rain (with Mark Ronson & Dan Auerbach)', 'Dmtri', 'Easy Rider', 'Imported Goods', 'Terry', 'Easy Rider - Ric Maye Remix', 'Cliff Hanger']",10
760,1831,1831,City Girls,"['pop', 'scam rap', 'trap queen']",13465045,90,"['Go Crazy', 'No Guidance (feat. Drake)', 'Provide (feat. Chris Brown & Mark Morrison)', 'Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)', 'Forever', 'Loyal (feat. Lil Wayne & Tyga)', 'Freaky Friday (feat. Chris Brown)', 'Go Crazy (Remix) (feat. Young Thug, Future, Lil Durk & Mulatto)', 'Ayo', 'Yo (Excuse Me Miss)']",10
762,1836,1836,Clairo,['bedroom pop'],1807573,78,"['Are You Bored Yet? (feat. Clairo)', 'Scrawny', 'OK', 'Pleaser', 'Remember When', 'These Days', 'OK - with Remi Wolf & Solomonophonic', '1980s Horror Film II', 'Pictures of Girls', 'Quarterback']",10
763,1840,1840,Clara Haskil,"['classical performance', 'romanian classical piano']",3811803,76,"['Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto', 'Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio', 'Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59', 'Für Elise, WoO 59', 'Moonlight Sonata (First Movement from Piano Sonata No. 14, Op. 27 No. 2)', 'Piano Sonata No. 14 in C-sharp minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto', 'Beethoven: Piano Sonata No. 8 in C Minor, Op. 13, ""Pathétique"": II. Adagio cantabile', 'Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": 2. Adagio un poco mosso', 'Wind Quintet in E-Flat Major, WoO 208, Hess 19: II. Adagio maestoso', 'Piano Sonata No. 8 in C minor, Op. 13, ""Pathétique"": II. Adagio cantabile']",10
765,1846,1846,Claude Debussy,"['classical', 'impressionism', 'post-romantic era']",1122563,72,"['Clair de Lune, L. 32', 'Rêverie', 'Suite bergamasque: Suite bergamasque: III. Clair de lune. Andante très expressif', 'Suite bergamasque, L. 75: 3. Clair de lune', 'Suite bergamasque, L. 75: Clair de lune', 'Rêverie, L. 68: Rêverie', 'Préludes / Book 2, L. 123: 5. Bruyères - Home Session', 'Dances for Harp and Orchestra, L. 103: 2. Danse profane', '2 Arabesques, L. 66: No. 1 in E Major', 'Debussy : Suite bergamasque : III Clair de lune']",10
767,1850,1850,Claudio Abbado,"['classical performance', 'orchestral performance']",4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
769,1853,1853,Claudio Scimone,['classical performance'],1749719,74,"['Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156)', 'The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto', 'The Four Seasons - Summer in G Minor, RV. 315: III. Presto', 'Vivaldi: Violin Concerto in G Minor, RV 315 ""L\'estate"" (No. 2 from ""Il cimento dell\'armonia e dell\'inventione"", Op. 8): III. Presto', 'The Four Seasons - Winter in F Minor, RV. 297: I. Allegro non molto', 'Concerto for Lute, 2 Violins and Continuo in D major, RV 93: 2. Largo (Arr. for Guitar)', 'Concerto For 2 Mandolins, Strings And Continuo In G, RV 532: 3. Allegro', 'Vivaldi: Violin Concerto in E Major, RV 269, No. 1, Spring: I. Allegro', 'Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto', 'Nulla in mundo pax, RV 630: 1. Nulla in mundo pax']",10
770,1854,1854,Claus Ogerman,['space age pop'],1122563,72,"['Clair de Lune, L. 32', 'Rêverie', 'Suite bergamasque: Suite bergamasque: III. Clair de lune. Andante très expressif', 'Suite bergamasque, L. 75: 3. Clair de lune', 'Suite bergamasque, L. 75: Clair de lune', 'Rêverie, L. 68: Rêverie', 'Préludes / Book 2, L. 123: 5. Bruyères - Home Session', 'Dances for Harp and Orchestra, L. 103: 2. Danse profane', '2 Arabesques, L. 66: No. 1 in E Major', 'Debussy : Suite bergamasque : III Clair de lune']",10
772,1860,1860,Clever,['alabama rap'],16887912,96,"['Lucid Dreams', 'Wishing Well', 'Robbery', 'All Girls Are The Same', 'Come & Go (with Marshmello)', 'Bad Boy (with Young Thug)', 'Bandit (with YoungBoy Never Broke Again)', 'Righteous', 'Hate The Other Side (with Marshmello & The Kid Laroi)', 'Reminds Me Of You']",10
773,1870,1870,Clio,['french synthpop'],461768,76,"['Cloud 9', 'Prom Queen', 'Sports', 'Painkiller', 'Good Girls (Don’t Get Used)', 'Blame Game', 'Dream Boy', 'April', '6 Weeks', 'Love Sick']",10
774,1871,1871,Clipse,"['alternative hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']",13679181,92,"['Stronger', 'Ni**as In Paris', 'Heartless', 'FourFiveSeconds', 'Bound 2', 'POWER', 'Gold Digger', 'Father Stretch My Hands Pt. 1', 'Ghost Town', 'Flashing Lights']",10
777,1875,1875,Co,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",16887912,96,"['Lucid Dreams', 'Wishing Well', 'Robbery', 'All Girls Are The Same', 'Come & Go (with Marshmello)', 'Bad Boy (with Young Thug)', 'Bandit (with YoungBoy Never Broke Again)', 'Righteous', 'Hate The Other Side (with Marshmello & The Kid Laroi)', 'Reminds Me Of You']",10
782,1887,1887,Cody Chesnutt,['funk'],1031400,66,"['You Got Me', 'The Seed (2.0)', 'What They Do', 'The Fire', 'Mellow My Man', 'Wake up Everybody (feat. Common & Melanie Fiona)', 'Guns Are Drawn', 'Right On', 'My Shot (feat. Busta Rhymes, Joell Ortiz & Nate Ruess) - Rise Up Remix', 'Little Ghetto Boy (feat. Black Thought)']",10
784,1895,1895,Colbie Caillat,"['acoustic pop', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",38647874,97,"['Love Story (Taylor’s Version)', 'willow', 'You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault)', 'cardigan', 'Mr. Perfectly Fine (Taylor’s Version) (From The Vault)', 'champagne problems', 'exile (feat. Bon Iver)', 'Blank Space', 'You Need To Calm Down', 'ME! (feat. Brendon Urie of Panic! At The Disco)']",10
785,1896,1896,Colby O'Donis,"['pop rap', 'urban contemporary']",16973776,89,"['Shallow', 'Rain On Me (with Ariana Grande)', 'Bad Romance', 'Always Remember Us This Way', 'Stupid Love', 'Poker Face', 'Million Reasons', 'Just Dance', '911', 'Sour Candy (with BLACKPINK)']",10
791,1911,1911,Collie Buddz,"['dancehall', 'jawaiian', 'modern reggae', 'reggae fusion', 'roots reggae']",351965,69,"[""Smokin' Love (with Collie Buddz)"", 'World on Fire (feat. Slightly Stoopid)', 'Weight of Sound', 'Summertime (feat. Citizen Cope)', 'Shine', 'Fire on the Horizon', 'Choice Is Yours (with Slightly Stoopid)', 'Sound of the Sea', 'Once in a Lifetime', 'All for You']",9
793,1915,1915,Cologne Chamber Orchestra,"['barockinterpreten', 'chamber orchestra']",4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
794,1916,1916,Cologne Radio Symphony Orchestra,['radio symphony'],688196,66,"['Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major', 'Hungarian Dance No. 5 in G Minor, WoO 1 No. 5 (Orch. Schmeling)', 'Wiegenlied, Op. 49, No. 4 (Arr. for Cello and Piano)', '6 Chorale Preludes, BV B 50: Herzlich tut mich verlangen, Op. 122/10', 'Symphony No. 3 in F Major, Op. 90: III. Poco allegretto', 'Hungarian Dance No.5 in G Minor, WoO 1, No.5', 'Brahms: 6 Pieces, Op. 118: II. Intermezzo in A Major', 'Fantasien op. 116: Intermezzo: Adagio', 'Danza Hungara Nº5', '16 Waltzes, Op. 39 (Version for Piano Duet): No. 15 in A-Flat Major']",10
798,1924,1924,Columbia Orchestra,['orchestra'],959572,71,"['Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scène (Moderato)', 'Variations on a Rococo Theme, Op. 33 for cello and orchestra: Var. VI: Andante', 'Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 13 Waltz of the Flowers', 'Album for the Young, Op. 39: No. 3. Mamma (Maman)', 'Six Pieces, Op. 51, TH 143: 6. Valse sentimentale. Tempo di Valse', 'Swan Lake', 'Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse', 'El Lago De Los Cisnes - Op. 20, Acto II: 10. Scene (Moderato)', 'Tchaikovsky: The Nutcracker - Ballet, Op. 71, Act 1: No. 2 March', 'Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 14 Pas de deux']",10
799,1929,1929,Commodores,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",1182634,69,"['Easy', 'Brick House', 'Nightshift', 'Three Times A Lady', 'Three Times A Lady', 'Lady (You Bring Me Up)', 'Machine Gun', 'Zoom', 'Still', 'Sail On']",10
802,1932,1932,Company,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",956249,87,"['Mood (feat. iann dior)', 'Tick Tock (feat. 24kGoldn)', 'Mood (Remix) feat. Justin Bieber, J Balvin & iann dior', 'CITY OF ANGELS', 'Coco (feat. DaBaby)', 'VALENTINO', 'Company (feat. Future)', '3, 2, 1', 'Tinted Eyes (feat. blackbear & 24kGoldn)', 'Love Or Lust']",10
803,1933,1933,Company B,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",44410543,100,"['Peaches (feat. Daniel Caesar & Giveon)', 'Hold On', 'Anyone', 'Holy (feat. Chance The Rapper)', 'Lonely (with benny blanco)', 'Stuck with U (with Justin Bieber)', 'Monster (Shawn Mendes & Justin Bieber)', '10,000 Hours (with Justin Bieber)', 'As I Am (feat. Khalid)', 'Unstable (feat. The Kid LAROI)']",10
805,1939,1939,Concerto Köln,"['baroque ensemble', 'classical performance', 'historically informed performance']",4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
808,1951,1951,Consequence,"['nyc rap', 'queens hip hop']",20988476,85,"['Señorita', 'Havana (feat. Young Thug)', 'My Oh My (feat. DaBaby)', 'South of the Border (feat. Camila Cabello & Cardi B)', 'Beautiful (feat. Camila Cabello)', 'Bad Things (with Camila Cabello)', 'Never Be the Same', 'Liar', 'Crying in the Club', 'I Know What You Did Last Summer']",10
816,1964,1964,Corbin,"['emo rap', 'underground hip hop']",1601849,90,"['WITHOUT YOU', 'Unstable (feat. The Kid LAROI)', 'Hate The Other Side (with Marshmello & The Kid Laroi)', 'Reminds Me Of You', 'GO (feat. Juice WRLD)', 'F*CK YOU, GOODBYE (feat. Machine Gun Kelly)', 'SO DONE', 'TRAGIC (feat. Youngboy Never Broke Again & Internet Money)', 'ALWAYS DO', 'Diva (feat. Lil Tecca)']",10
819,1971,1971,Cornelio Reyna,"['corrido', 'norteno', 'ranchera', 'regional mexican']",527534,61,"['Me Caí De La Nube', 'Me Sacaron Del Tenampa', 'Que Se Junten Nuestros Brazos', 'Mi tesoro', 'Corrido De Olegario', 'El Disgusto', 'Mandale Una Carta', 'Me Caí de la Nube', 'Lágrimas De Mi Barrio', 'Me Caíste Del Cielo']",10
821,1982,1982,Cory Gunz,['nyc rap'],10289638,90,"['Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', '6 Foot 7 Foot', 'Scared of the Dark (feat. XXXTENTACION)', 'Uproar', 'A Milli', 'Forever', 'Mirror', 'My Window (feat. Lil Wayne)', 'Lollipop', 'Love Me']",10
822,1983,1983,Cosculluela,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",15861909,89,"['Mala Costumbre', 'LEYENDAS', 'Aullando', 'Algo Me Gusta De Ti', 'Noche De Sexo', 'Si Supieras', 'Rakata', 'Noche De Entierro', 'Sexy Movimiento', 'El Telefono']",10
825,1991,1991,Counting Crows,"['alternative rock', 'neo mellow', 'pop rock', 'rock']",1272110,72,"['Mr. Jones', 'Accidentally In Love', 'A Long December', 'Big Yellow Taxi', 'Round Here', 'Hanginaround', 'Colorblind', 'Rain King', 'Omaha', 'Mr. Jones - Live At Chelsea Studios, New York/1997']",10
829,2006,2006,Cramp,"['alternative rock', 'dance rock', 'garage rock', 'gothabilly', 'new wave', 'post-punk', 'psychobilly', 'punk', 'punk blues']",38647874,97,"['Love Story (Taylor’s Version)', 'willow', 'You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault)', 'cardigan', 'Mr. Perfectly Fine (Taylor’s Version) (From The Vault)', 'champagne problems', 'exile (feat. Bon Iver)', 'Blank Space', 'You Need To Calm Down', 'ME! (feat. Brendon Urie of Panic! At The Disco)']",10
835,2022,2022,Cristian Castro,"['latin', 'latin arena pop', 'latin pop', 'rock en espanol']",1803000,72,"['Azul', 'Por Amarte Así', 'Lloviendo Estrellas', 'No Podrás', 'Resistiré', 'Es Mejor Así', 'Yo Quería', 'Es Mejor Así (feat. Reik) - Primera Fila - Live Version', 'Simplemente Tú', 'Volver a Amar']",10
836,2023,2023,Cristian Vogel,"['danish experimental', 'danish techno', 'techno']",6032406,81,"['Creep', 'Karma Police', 'High and Dry', 'No Surprises', 'Fake Plastic Trees', 'Exit Music (For A Film)', 'Paranoid Android', 'Weird Fishes/ Arpeggi', 'Nude', 'Everything In Its Right Place']",10
837,2024,2024,Cristina Ariagno,['french classical piano'],550058,70,"['Gymnopédie No. 1', 'Gnossienne No. 1', 'Satie / Orch. Ducros: Gymnopédie No. 1', 'Gnossienne: No. 1', 'Première Gymnopédie', 'Enfantillages pittoresques: II. Berceuse', '3 Gymnopédies: No. 1 in D Major: Lent et douloureux', '3 Gymnopédies: No. 1, Lent et douloureux', '3 Gymnopédies: No.1 Lent et douloureux', 'Gnossienne No.1 (Arr. Kleynjans)']",10
838,2025,2025,Cristina Deutekom,['classical soprano'],4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']",10
840,2027,2027,Cristina Soto,['vocal trance'],205632,63,"['Getaway - Koven Remix', 'I Feel The Love', 'Little Bit Of Love - Anton Powers Remix', 'Until You Were Gone', 'Never Be The Same', 'Happy Where We Are', 'Untouchable', 'Long Way Home', 'Born Yesterday', 'Shivohum']",10
845,2048,2048,Cub,"['conscious hip hop', 'g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']",1846963,84,"['Richer (feat. Polo G)', 'Street Runner', 'Rags2Riches 2 (feat. Lil Baby)', 'Heart On Ice', 'Tombstone', 'Rags2Riches (feat. ATR Son Son)', 'Girl Of My Dreams', 'SoulFly', 'Gone Till November', ""Don't Forget""]",9
846,2049,2049,Cuban Link,"['bronx hip hop', 'hip hop cubano']",1846963,84,"['Richer (feat. Polo G)', 'Street Runner', 'Rags2Riches 2 (feat. Lil Baby)', 'Heart On Ice', 'Tombstone', 'Rags2Riches (feat. ATR Son Son)', 'Girl Of My Dreams', 'SoulFly', 'Gone Till November', ""Don't Forget""]",9
848,2053,2053,Cuebrick,"['deep big room', 'pop edm', 'sky room']",205632,63,"['Getaway - Koven Remix', 'I Feel The Love', 'Little Bit Of Love - Anton Powers Remix', 'Until You Were Gone', 'Never Be The Same', 'Happy Where We Are', 'Untouchable', 'Long Way Home', 'Born Yesterday', 'Shivohum']",10
851,2060,2060,Cupid,"['kids dance party', 'pop rap']",1222923,78,"[""Cupid's Chokehold / Breakfast in America"", 'Stereo Hearts (feat. Adam Levine)', 'Ass Back Home (feat. Neon Hitch)', 'The Fighter (feat. Ryan Tedder)', 'Cookie Jar (feat. The-Dream)', 'Clothes Off!!', 'The Queen and I', 'Faces in the Hall', 'Papercuts', 'Taxi Driver']",9
853,2062,2062,Current Joys,"['indie garage rock', 'indie pop', 'lo-fi indie']",442591,72,"['New Flesh', 'Kids', 'Blondie', 'Become the Warm Jets', 'A Different Age', 'Fear', 'Symphonia IX', 'You Broke My Heart', 'Televisions', 'American Honey']",10
856,2071,2071,Cygnus X,"['bubble trance', 'german techno', 'trance']",1588564,71,"['Tom Sawyer', 'Limelight', 'The Spirit Of Radio', 'Working Man', 'Closer To The Heart', 'Fly By Night', 'YYZ', 'Freewill', 'Subdivisions', 'Red Barchetta']",10
859,2077,2077,Czech Philharmonic Orchestra,"['classical', 'classical performance', 'orchestra']",959572,71,"['Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scène (Moderato)', 'Variations on a Rococo Theme, Op. 33 for cello and orchestra: Var. VI: Andante', 'Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 13 Waltz of the Flowers', 'Album for the Young, Op. 39: No. 3. Mamma (Maman)', 'Six Pieces, Op. 51, TH 143: 6. Valse sentimentale. Tempo di Valse', 'Swan Lake', 'Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse', 'El Lago De Los Cisnes - Op. 20, Acto II: 10. Scene (Moderato)', 'Tchaikovsky: The Nutcracker - Ballet, Op. 71, Act 1: No. 2 March', 'Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 14 Pas de deux']",10
864,2086,2086,D-Sturb,"['classic hardstyle', 'frenchcore', 'rawstyle', 'xtra raw']",141317,64,"['Feel It!', 'Harder State Of Mind', 'Darkest Hour (The Clock)', 'Inside My Head', 'Primal Energy (Defqon.1 2020 Anthem)', 'Angels & Demons', 'Twilight Zone', 'Feel Inside', 'Good Times', 'Promised Land']",10
865,2087,2087,D-Train,"['boogie', 'disco', 'electro', 'funk', 'popping', 'post-disco', 'quiet storm']",3644029,78,"['Hey, Soul Sister', 'Drops of Jupiter (Tell Me)', 'Drive By', 'Marry Me', 'Play That Song', '50 Ways to Say Goodbye', 'Meet Virginia', 'Calling All Angels', 'Mai Tais (feat. Skylar Grey)', 'Bruises (feat. Ashley Monroe)']",10
867,2091,2091,D. Hood,"['melodic rap', 'pop rap', 'rap', 'trap']",5617857,87,"['Swervin (feat. 6ix9ine)', 'Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown)', 'Me and My Guitar', 'Drowning (feat. Kodak Black)', 'Look Back at It', 'Jungle', 'Still Think About You', 'Demons and Angels (feat. Juice WRLD)', 'Numbers (feat. Roddy Ricch, Gunna and London On Da Track)', 'My Shit']",10
868,2092,2092,D. K. Pattammal,"['carnatic', 'carnatic vocal', 'indian classical']",11497105,77,"['Jashn-E-Bahaaraa', 'Main Tumhara', 'Kun Faya Kun', 'Enna Sona', 'Jai Ho! (You Are My Destiny)', 'Tere Bina', 'Dil Bechara', 'Taare Ginn', 'Masakali 2.0', 'Love Mashup 2019']",10
870,2097,2097,D.Y.,"['boston hardcore', 'boston punk', 'straight edge']",31383355,96,"['Dynamite', 'Life Goes On', 'Film out', 'Boy With Luv (feat. Halsey)', 'Blue & Grey', 'Savage Love (Laxed – Siren Beat) [BTS Remix]', 'Telepathy', 'Fly To My Room', 'ON', 'Dis-ease']",10
872,2099,2099,D12,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'rap rock']",1753321,68,"['My Band', 'Purple Pills', 'Fight Music', 'American Psycho II', 'How Come', 'A Bizarre Cypher', 'Pimp Like Me', 'Shit On You', 'Girls', 'Rap Game']",10
873,2100,2100,D4L,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",10080523,91,"['Life Is Good (feat. Drake)', 'Mask Off', 'Drankin N Smokin', 'Company (feat. Future)', 'Fine China', 'Low Life (feat. The Weeknd)', 'Hard For The Next (with Future)', 'Jumpman', 'Go Crazy (Remix) (feat. Young Thug, Future, Lil Durk & Mulatto)', 'FRANCHISE (feat. Future, Young Thug & M.I.A.) - REMIX']",10
875,2104,2104,DBN,['amapiano'],31383355,96,"['Love Story (Taylor’s Version)', 'willow', 'You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault)', 'cardigan', 'Mr. Perfectly Fine (Taylor’s Version) (From The Vault)', 'champagne problems', 'exile (feat. Bon Iver)', 'Blank Space', 'You Need To Calm Down', 'ME! (feat. Brendon Urie of Panic! At The Disco)']",10
877,2110,2110,DES,"['dance pop', 'girl group', 'hip pop', 'pop', 'r&b', 'urban contemporary']",44410543,100,"['Peaches (feat. Daniel Caesar & Giveon)', 'Hold On', 'Anyone', 'Holy (feat. Chance The Rapper)', 'Lonely (with benny blanco)', 'Stuck with U (with Justin Bieber)', 'Monster (Shawn Mendes & Justin Bieber)', '10,000 Hours (with Justin Bieber)', 'As I Am (feat. Khalid)', 'Unstable (feat. The Kid LAROI)']",10
878,2111,2111,DEV,"['contemporary country', 'country pop', 'modern country rock']",1821794,78,"['Devil Town', 'This Is Home', 'Boys Will Be Bugs', 'Juliet', 'Lemon Boy', 'Fool', 'Home', 'Talk to Me', 'Cut My Hair', 'Green']",10
883,2123,2123,DJ Isaac,"['australian dance', 'classic hardstyle', 'euphoric hardstyle', 'gabba', 'happy hardcore', 'hardcore techno', 'rawstyle']",141317,64,"['Feel It!', 'Harder State Of Mind', 'Darkest Hour (The Clock)', 'Inside My Head', 'Primal Energy (Defqon.1 2020 Anthem)', 'Angels & Demons', 'Twilight Zone', 'Feel Inside', 'Good Times', 'Promised Land']",10
886,2132,2132,DJ Premier,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'jazz boom bap', 'turntablism']",13679181,92,"['Stronger', 'Ni**as In Paris', 'Heartless', 'FourFiveSeconds', 'Bound 2', 'POWER', 'Gold Digger', 'Father Stretch My Hands Pt. 1', 'Ghost Town', 'Flashing Lights']",10
888,2135,2135,DJ Remy,['dutch trance'],506213,63,"['Tan Enamorados', 'Dejaría Todo', 'Reggaetón Lento (Bailemos)', 'Hey DJ', 'Reggaetón Lento (Remix)', 'Beso', 'Honey Boo', 'Me Necesita', 'Por Amarte Así', 'Amor Narcótico']",10
889,2140,2140,DJ Snake,"['dance pop', 'edm', 'electro house', 'electronic trap', 'pop', 'pop dance']",7304341,83,"['Let Me Love You', 'Selfish Love (with Selena Gomez)', 'Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)', 'Loco Contigo (feat. J. Balvin & Tyga)', 'Middle', 'Turn Down for What', 'Lean On', 'You Know You Like It', 'Fuego (with Sean Paul & Anitta, feat. Tainy)', 'A Different Way (with Lauv)']",10
890,2141,2141,DJ Sneak,"['acid house', 'chicago house', 'deep house', 'disco house']",7304341,83,"['Let Me Love You', 'Selfish Love (with Selena Gomez)', 'Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)', 'Loco Contigo (feat. J. Balvin & Tyga)', 'Middle', 'Turn Down for What', 'Lean On', 'You Know You Like It', 'Fuego (with Sean Paul & Anitta, feat. Tainy)', 'A Different Way (with Lauv)']",10
894,2153,2153,DRS,"['drum and bass', 'liquid funk', 'manchester hip hop']",1370986,87,"['drivers license', 'deja vu', 'All I Want - From ""High School Musical: The Musical: The Series""', 'Wondering - From ""High School Musical: The Musical: The Series""', 'Just for a Moment - From ""High School Musical: The Musical: The Series""', 'All I Want - Love That Lasts Mix', 'Start of Something New - Nini Version', 'I Think I Kinda, You Know - Duet', 'Out of the Old - From ""High School Musical: The Musical: The Series""', 'Wondering - Ashlyn & Nini Piano Version']",10
896,2156,2156,DVBBS,"['big room', 'canadian electronic', 'deep big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'tropical house']",889243,71,"['Tinted Eyes (feat. blackbear & 24kGoldn)', 'West Coast (feat. Quinn XCII)', 'I Don’t (with DVBBS)', 'Tsunami', 'Too Much', 'IDWK', 'GOMF', 'Not Going Home', 'Pyramids (feat. Sanjin) - Radio Mix', 'Need U']",10
897,2160,2160,Da Tweekaz,"['classic hardstyle', 'euphoric hardstyle', 'rawstyle']",157557,63,"['Fight For Something', 'Toss A Coin To Your Witcher', 'Fine Day', 'Superman', 'Face Of A Champion', 'Inception', 'Arriba', 'Beat Of The Drum', 'The Elite', 'Power Of Perception (Reverze Anthem 2020)']",10
898,2163,2163,Daddy Yankee,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']",7808061,89,"['911', 'Relación - Remix', 'La Luz', 'Relación', 'Sigues Con El', 'Ignorantes', 'Otro Trago - Remix', 'Otro Trago', 'Quizas', 'PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix']",10
