,artists,genres
160,5 Seconds of Summer,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
161,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
162,50 Guitars of Tommy Garrett,"['ballroom', 'easy listening']"
163,504 Boyz,"['dirty south rap', 'pop rap', 'southern hip hop']"
165,54-40,"['canadian indie', 'canadian rock']"
166,5th Ward Boyz,"['dirty south rap', 'dirty texas rap', 'gangster rap', 'houston rap']"
167,6 Dogs,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']"
169,69,['miami bass']
170,69 Boyz,['miami bass']
172,6LACK,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']"
173,6ix9ine,['emo rap']
174,7 Seconds,"['hardcore', 'hardcore punk', 'melodic hardcore', 'punk', 'skate punk', 'straight edge']"
175,7 Skies,['uplifting trance']
176,7 Year Bitch,"['grunge', 'riot grrrl']"
177,702,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
183,8-Bit Arcade,"['8-bit', 'scorecore']"
184,808 State,"['acid house', 'big beat', 'chicago house', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno']"
185,88-Keys,['alternative hip hop']
186,88GLAM,"['canadian hip hop', 'melodic rap', 'rap', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']"
187,88rising,"['asian american hip hop', 'pop']"
188,8Ball,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'trap']"
189,8Ball & MJG,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']"
191,8kHz Mono,['futurepop']
192,90sFlav,['lo-fi beats']
193,94 East,['minneapolis sound']
194,98,"['boy band', 'dance pop']"
195,98º,"['boy band', 'dance pop']"
196,99 Souls,"['house', 'uk house']"
197,999,"['oi', 'pub rock', 'punk']"
198,9K Breaks,['bboy']
199,9lokknine,['florida rap']
201,9th Wonder,"['alternative hip hop', 'boom bap', 'hip hop', 'north carolina hip hop']"
202,? & The Mysterians,"['chicano punk', 'classic garage rock', 'detroit rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
203,?uestlove,['philly rap']
204,A & Z,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
205,A Boogie Wit da Hoodie,"['melodic rap', 'pop rap', 'rap', 'trap']"
206,A Boy Called Joni,['deep progressive trance']
207,A Camp,"['latin christian', 'latin worship', 'mariachi cristiano', 'reggaeton cristiano']"
209,A Certain Ratio,"['art rock', 'chamber psych', 'dance rock', 'dance-punk', 'experimental', 'industrial', 'new wave', 'no wave', 'post-punk', 'sophisti-pop', 'synthpop', 'uk post-punk']"
210,A Day To Remember,"['metalcore', 'pop punk', 'screamo']"
211,A Few Good Men,['new jack swing']
212,A Fine Frenzy,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock']"
213,A Flock Of Seagulls,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
216,A Great Big World,"['indiecoustica', 'modern rock', 'neo mellow', 'piano rock', 'pop rock']"
217,A Guy Called Gerald,"['acid house', 'atmospheric dnb', 'drum and bass', 'madchester', 'techno']"
219,A Perfect Circle,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']"
220,A R I Z O N A,"['edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'tropical house']"
222,A Rocket In Dub,['dusseldorf electronic']
223,A Rocket To The Moon,"['alternative pop rock', 'neo mellow', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'pop rock']"
224,A Skylit Drive,"['metalcore', 'pixie', 'post-screamo', 'screamo']"
225,A Taste Of Honey,"['boogie', 'disco', 'funk', 'post-disco']"
226,A Touch Of Class,"['bubblegum dance', 'europop']"
229,A Tribe Called Quest,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']"
230,A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
231,A$AP Mob,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
232,A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
233,A*Teens,"['bubblegum dance', 'dance pop', 'europop']"
234,A-Mei Chang,"['c-pop', 'mandopop']"
235,A-Trak,"['banda', 'corrido', 'nuevo regional mexicano', 'ranchera', 'regional mexican']"
238,A. Jaziukevičius,['lithuanian folk']
239,A. L. Lloyd,"['broadway', 'show tunes', 'west end']"
241,A. M. Rajah,"['deep indian pop', 'filmi']"
247,A. R. Qureshi,"['hindustani classical', 'hindustani instrumental', 'indian classical', 'tabla']"
251,A.C. Chill,['dirty texas rap']
256,A.R. Kane,"['dream pop', 'shoegaze']"
257,A.R. Rahman,"['desi pop', 'filmi', 'modern bollywood', 'sufi']"
260,A.r.d.i.,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'uplifting trance']"
263,A7S,['scandipop']
264,AAA,"['japanese alternative rock', 'japanese electropop', 'japanese r&b']"
265,AB6IX,"['k-pop', 'k-pop boy group']"
266,ABBA,"['europop', 'swedish pop']"
267,ABC,"[""preschool children's music""]"
270,ABRA,"['indie cafe pop', 'indie pop', 'pop']"
271,ABSRDST,['future bass']
273,AC/DC,"['album rock', 'australian rock', 'hard rock', 'rock']"
274,ACOT,['meme rap']
275,ADIN,"['hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
277,AFI,"['emo', 'pop punk', 'punk', 'screamo', 'skate punk']"
282,AJ Mitchell,"['electropop', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop']"
283,AJ Rafael,"['opm', 'viral pop']"
284,AJJ,"['acoustic punk', 'anti-folk', 'folk punk']"
285,AJR,['modern rock']
286,AJZ,['serbian hip hop']
289,AKLO,['j-rap']
292,AL!AS,"['melodic metalcore', 'metalcore', 'trancecore', 'uk metalcore']"
293,ALI,"['neo soul', 'pop', 'r&b', 'urban contemporary']"
294,ALLBLACK,"['cali rap', 'hyphy', 'k-rap', 'west coast trap']"
295,ALO,"['pop soul', 'r&b']"
296,ALPHA 9,"['edm', 'progressive house', 'progressive trance', 'russian trance', 'trance', 'uplifting trance']"
302,APB,['scottish new wave']
303,APEK,"['pop edm', 'sky room']"
304,APO Hiking Society,"['classic opm', 'opm']"
305,APRE,"['english indie rock', 'kent indie']"
307,ARTY,"['big room', 'edm', 'electro house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'progressive trance', 'russian edm', 'trance', 'tropical house', 'uplifting trance']"
309,ASIAN KUNG-FU GENERATION,"['anime', 'anime score', 'j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'japanese pop punk']"
310,ASP,"['deep big room', 'pop edm', 'russian dance']"
311,ATB,"['disco house', 'german dance', 'german techno', 'german trance', 'trance']"
314,AUGUST 08,"['la pop', 'r&b']"
315,AURORA,"['art pop', 'norwegian pop']"
316,AVCI,"['karadeniz halk muzigi', 'turkish pop', 'turkish trap pop']"
318,AVIRA,"['progressive house', 'progressive trance', 'trance']"
319,AWOL One,['abstract hip hop']
320,AWOLNATION,"['indie rock', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']"
321,AZ,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop dance', 'pop rap', 'post-teen pop']"
322,Aadesh Shrivastava,['modern bollywood']
324,Aaliyah,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
327,Aaron Beta,['ghoststep']
328,Aaron Carter,"['dance pop', 'post-teen pop']"
329,Aaron Copland,"['american modern classical', 'classical', 'early modern classical']"
330,Aaron Hall,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
332,Aaron Kwok,"['c-pop', 'cantopop', 'classic cantopop', 'classic mandopop']"
333,Aaron Lewis,"['contemporary country', 'country', 'country road', 'modern country rock', 'outlaw country', 'redneck']"
335,Aaron May,"['rap', 'underground hip hop']"
336,Aaron Neville,['soul']
338,Aaron Shust,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'rock cristiano', 'world worship', 'worship']"
339,Aaron Smith,['chicago house']
340,Aaron Tippin,"['country', 'country road', 'country rock', 'redneck']"
341,Aaron Tveit,"['broadway', 'hollywood', 'show tunes']"
342,Aaron Watson,"['contemporary country', 'country', 'country road', 'modern country rock', 'texas country']"
343,Aaron Y Su Grupo Ilusion,"['cumbia sonidera', 'ranchera', 'regional mexican']"
344,Aarti Mukherji,"['classic bollywood', 'filmi']"
346,Aavepyora,['suomisaundi']
347,Ab-Soul,"['alternative hip hop', 'conscious hip hop', 'hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
348,Abandon Kansas,"['christian rock', 'dreamo']"
350,Abbey Lincoln,['vocal jazz']
351,Abby,"['contemporary country', 'country pop']"
352,Abby Anderson,"['contemporary country', 'country pop']"
355,Abdel Halim Hafez,"['arab folk', 'classic arab pop']"
356,Abdul,"['dance pop', 'europop', 'new wave pop', 'soft rock', 'urban contemporary']"
364,Abel Zavala,"['latin christian', 'latin worship']"
