,artists,genres
9494,Filo & Peri,"['progressive house', 'trance', 'uplifting trance']"
9495,Filter,"['alternative metal', 'alternative rock', 'grunge', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rap rock', 'rock']"
9496,Filterheadz,['progressive house']
9499,Finch,"['background piano', 'focus']"
9500,Finding Faith,['ccm']
9502,Fine Young Cannibals,"['dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
9503,Finger Eleven,"['alternative metal', 'canadian rock', 'funk metal', 'nu metal', 'post-grunge', 'rap rock', 'wrestling']"
9504,Fini Henriques,['danish classical']
9507,Finis Henderson,['deep soft rock']
9508,Fink,['ninja']
9511,Finn,"['electropop', 'indie pop', 'la indie', 'pop']"
9513,Fiona Apple,"['art pop', 'chamber pop', 'lilith', 'permanent wave', 'piano rock', 'pop rock', 'singer-songwriter']"
9514,Fiora,['vocal trance']
9516,Fiorenza Cossotto,"['classical mezzo-soprano', 'italian mezzo-soprano', 'opera']"
9518,Firefall,"['album rock', 'classic rock', 'classic uk pop', 'country rock', 'folk rock', 'mellow gold', 'soft rock']"
9519,Fireflight,"['christian alternative rock', 'christian music', 'christian rock', 'pixie', 'pop emo']"
9520,Firehouse,"['album rock', 'glam metal', 'hard rock', 'rock']"
9521,Firehouse Five Plus Two,"['dixieland', 'new orleans jazz', 'ragtime']"
9522,Firelite,"['euphoric hardstyle', 'hardstyle', 'rawstyle']"
9523,Firoza Begum,['bangla']
9524,First Aid Kit,"['indie folk', 'stomp and holler', 'swedish americana', 'swedish country']"
9525,First Choice,"['chicago house', 'deep disco', 'disco', 'philly soul', 'post-disco']"
9526,First Circle,['pinoy reggae']
9528,First State,"['dutch trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']"
9529,Fischer-Z,"['german rock', 'new romantic', 'zolo']"
9530,Fischerspooner,"['alternative dance', 'dance-punk', 'electroclash', 'electronica', 'electropop', 'new rave']"
9531,Fishbone,"['funk metal', 'funk rock', 'ska', 'ska punk']"
9532,Fisher,['australian house']
9534,Fisherman,"['cornish folk', 'shanty']"
9535,Fisherman & Hawkins,['uplifting trance']
9536,Fishmans,"['classic j-rock', 'j-rock', 'japanese dream pop', 'shibuya-kei']"
9537,Fito Olivares,['gruperas inmortales']
9539,Fito Olivares y Su Grupo,['gruperas inmortales']
9540,Fito Paez,"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'rock nacional']"
9541,Fitz and The Tantrums,"['indie pop', 'indie poptimism', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']"
9542,Five,"['pop', 'pop rock']"
9543,Five A.M.,"['latin alternative', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol', 'ska mexicano']"
9544,Five Finger Death Punch,"['alternative metal', 'groove metal', 'nu metal']"
9545,Five For Fighting,"['acoustic pop', 'neo mellow', 'piano rock', 'pop rock']"
9546,Five Iron Frenzy,"['christian punk', 'ska', 'ska punk']"
9547,Five Man Electrical Band,"['canadian psychedelic', 'classic canadian rock']"
9550,Fivio Foreign,"['brooklyn drill', 'new york drill', 'rap', 'trap']"
9552,Fizzonaut,['white noise']
9553,Flac,"['banda', 'corrido', 'nuevo regional mexicano', 'regional mexican']"
9554,Flaco Jimenez,['tejano']
9556,Flamborough Head,"['crossover prog', 'dutch prog']"
9557,Flame,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
9559,Flamin' Groovies,"['classic garage rock', 'country rock', 'dance rock', 'folk rock', 'freakbeat', 'garage rock', 'power pop', 'protopunk', 'psychedelic rock', 'pub rock', 'punk', 'punk blues', 'roots rock']"
9560,Flamingo,"['chillhop', 'future funk']"
9561,Flans,"['latin', 'latin pop', 'rock en espanol']"
9564,Flashmob,['italian tech house']
9565,Flatbush Zombies,"['hip hop', 'psychedelic hip hop', 'rap', 'underground hip hop']"
9566,Flatland Cavalry,['texas country']
9567,Flatsound,"['bedroom pop', 'indie pop', 'lo-fi emo']"
9568,Flatt & Scruggs,"['appalachian folk', 'banjo', 'bluegrass', 'bluegrass gospel', 'old-time', 'progressive bluegrass', 'traditional country', 'traditional folk']"
9570,Flavio Cucchi,"['classical guitar', 'italian classical guitar']"
9572,Flavour,"['afro dancehall', 'afropop', 'azontobeats', 'nigerian pop']"
9573,Flavourine,['lounge house']
9574,Fleet Foxes,"['chamber pop', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']"
9575,Fleetwood Mac,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
9577,Flesh For Lulu,"['gothic rock', 'new wave']"
9579,Fletcher Henderson,"['big band', 'harlem renaissance', 'jazz piano', 'ragtime', 'stride', 'swing', 'vintage jazz']"
9580,Fletcher Henderson & His Orchestra,"['big band', 'stride', 'swing', 'vintage jazz']"
9581,Fleurie,"['indie poptimism', 'nashville singer-songwriter']"
9582,Flex,['cali rap']
9585,Flight Facilities,"['alternative dance', 'aussietronica', 'australian dance', 'australian indie', 'indie soul', 'nu disco']"
9587,Flip Phillips,['jazz saxophone']
9588,Flipmode Squad,"['east coast hip hop', 'hardcore hip hop']"
9589,Flipp Dinero,"['melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
9590,Flipper,"['early us punk', 'experimental rock', 'grunge', 'hardcore punk', 'noise punk', 'noise rock', 'post-hardcore', 'post-punk', 'punk']"
9591,Flipper's Guitar,"['j-rock', 'shibuya-kei']"
9593,Flipsyde,['oakland hip hop']
9594,Flo & Eddie,['classic rock']
9595,Flo Milli,"['dance pop', 'pop', 'viral rap']"
9596,Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop dance', 'pop rap']"
9597,Flo Sandon,"['canzone napoletana', 'vintage italian pop']"
9598,Flo Sandon's,"['canzone napoletana', 'vintage italian pop']"
9600,Floater,"['classic soul', 'quiet storm']"
9601,Flobots,"['comic', 'conscious hip hop']"
9602,Floe,"['british soul', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
9603,Floetry,"['british soul', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
9604,Flogging Molly,"['bow pop', 'celtic punk', 'celtic rock', 'comic', 'punk', 'skate punk']"
9606,Flor Peeters,['classical organ']
9607,Flor Silvestre,"['mariachi', 'ranchera']"
9608,Flora Purim,"['bossa nova', 'brazilian jazz', 'jazz funk', 'jazz fusion']"
9609,Florante,"['classic opm', 'manila sound']"
9611,Florelle,['vintage chanson']
9612,Florence + The Machine,"['baroque pop', 'pop', 'uk alternative pop']"
9613,Florence Quivar,['classical mezzo-soprano']
9614,Florence Welch,['uk pop']
9616,Florian Meindl,"['minimal techno', 'modular techno', 'tech house']"
9617,Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
9618,Florida Orchestra,['american orchestra']
9620,Florindo Andreolli,['italian tenor']
9621,Flosstradamus,"['bass trap', 'edm', 'electro house', 'electronic trap', 'mashup']"
9622,Flotsam & Jetsam,"['metal', 'old school thrash', 'power thrash', 'speed metal', 'thrash metal']"
9623,Flow La Movie,"['reggaeton', 'trap latino']"
9626,Flower Travellin' Band,"['classic j-rock', 'japanese heavy metal', 'japanese psychedelic', 'psychedelic blues-rock']"
9628,Flowers,"['modern rock', 'vegas indie']"
9629,Floyd Cramer,"['easy listening', 'honky-tonk piano', 'nashville sound']"
9631,Flughand,"['chillhop', 'focus beats', 'jazz boom bap', 'lo-fi beats']"
9633,Fluke,"['big beat', 'breakbeat', 'electronica', 'trip hop']"
9634,Flume,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']"
9635,Flux Pavilion,"['bass trap', 'brostep', 'classic dubstep', 'edm', 'electro house', 'electronic trap']"
9637,Flying Donuts,['french punk']
9638,Flying Lotus,"['afrofuturism', 'alternative hip hop', 'electronica', 'escape room', 'experimental hip hop', 'glitch', 'glitch hop', 'hip hop', 'intelligent dance music', 'jazztronica', 'psychedelic hip hop', 'wonky']"
9640,Flyleaf,"['alternative metal', 'christian alternative rock', 'christian rock', 'nu metal', 'post-grunge']"
9642,Foals,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'oxford indie', 'rock']"
9643,Fobia,"['latin alternative', 'latin rock', 'mexican indie', 'mexican rock', 'rock en espanol']"
9646,Focus,"['drum and bass', 'liquid funk', 'uk dance', 'uk dnb']"
9649,Foghat,"['album rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
9650,Folder 5,"['j-pop girl group', 'okinawan pop']"
9652,Fon.Leman,['progressive trance house']
9653,Fonseca,"['colombian pop', 'latin', 'latin pop']"
9655,Fontella Bass,"['brill building pop', 'chicago soul', 'classic soul', 'motown', 'rhythm and blues', 'soul']"
9657,Fonzi Thornton,['post-disco soul']
9658,Foo Fighters,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']"
9659,FooR,"['bass house', 'deep groove house', 'house', 'pop dance']"
9660,Fools Garden,['german pop rock']
9661,Foot Ox,['tempe indie']
9662,For Real,"['boy band', 'hip pop', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
9663,Forbidden,"['metal', 'old school thrash', 'technical thrash', 'thrash metal']"
9665,Force M.D.'s,"['funk', 'new jack swing', 'quiet storm', 'urban contemporary']"
9666,Foreigner,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
9667,Forest FX,['environmental']
9669,Forever Jones,['gospel']
9671,Forever The Sickest Kids,"['electropowerpop', 'emo', 'neon pop punk', 'pop emo', 'pop punk', 'texas pop punk']"
9673,Formal One,['progressive trance']
9674,Format:B,"['deep euro house', 'german tech house', 'german techno', 'minimal techno', 'tech house']"
9676,Fort Knox Five,['bboy']
9677,Fort Minor,['rap rock']
9678,Fort Wingate Indian School,['navajo']
9679,Fortugé,['vintage chanson']
9680,Forum,['soviet synthpop']
9682,Forêt,['swamp pop']
9683,Foster & Allen,"['irish country', 'irish folk']"
9684,Foster And Lloyd,['texas country']
9687,Foster The People,"['indie pop', 'indietronica', 'modern rock', 'rock']"
9689,Fou Ts'ong,"['chinese classical performance', 'chinese classical piano']"
9690,Fountains Of Wayne,"['alternative rock', 'pop rock', 'power pop']"
9691,Four Tops,"['adult standards', 'brill building pop', 'classic soul', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soul']"
9692,Four Year Strong,"['alternative emo', 'anthem emo', 'easycore', 'emo', 'new england emo', 'pop punk', 'screamo', 'worcester ma indie']"
9693,Four-Mod,['thai pop']
9694,Fourplay,"['jazz funk', 'jazz fusion', 'smooth jazz']"
9696,Foux,"['uk alternative hip hop', 'underground hip hop', 'vapor trap']"
9697,Fox 2000,['jumptek']
9698,Fox Academy,"['indie garage rock', 'lo-fi indie']"
9699,Foxes,"['chamber pop', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']"
9700,Foxx,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop rap', 'r&b', 'southern hip hop', 'urban contemporary']"
9701,Foxy,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap']"
9702,Foxy Brown,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap']"
9703,Foxygen,"['baroque pop', 'experimental pop', 'freak folk', 'indie garage rock', 'indie pop', 'indie rock', 'neo-psychedelic']"
9706,Fra Lippo Lippi,"['opm', 'soft rock']"
9707,FractaLL,['brazilian edm']
9709,Fractions,['acid techno']
9711,Fractures,['vapor soul']
9714,Fragile,['meditation']
9717,Fragmax,['jumpstyle']
9718,Frainbreeze,['progressive trance']
9720,Framing Hanley,"['alternative metal', 'christian rock', 'pop emo', 'screamo']"
9721,Fran Denia,['hard minimal techno']
9722,France Gall,"['chanson', 'french pop', 'ye ye']"
9723,France Joli,"['deep disco', 'disco', 'hi-nrg', 'post-disco']"
9726,Frances Forever,"['bedroom pop', 'indie pop']"
9727,Frances Langford,"['torch song', 'vintage hollywood']"
9729,Frances Nero,['motown']
9730,Frances Ruffelle,['broadway']
9731,Frances Yip,"['c-pop', 'classic cantopop', 'vintage chinese pop']"
9733,Francesca Battistelli,"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian pop', 'worship']"
9734,Francesco Albanese,['italian tenor']
9735,Francesco Bartolomeo Conti,['italian baroque']
9736,Francesco Cilea,"['italian opera', 'italian romanticism', 'post-romantic era']"
9738,Francesco De Gregori,"[""canzone d'autore"", 'classic italian pop', 'folk rock italiano', 'italian adult pop']"
9739,Francesco De Masi,"['classic soundtrack', 'vintage italian soundtrack']"
9740,Francesco Diaz,['progressive electro house']
9743,Francesco Molinari-Pradelli,['opera']
9744,Francesco Paolo Tosti,['canzone napoletana']
9745,Francesco Pico,['dutch tech house']
9748,Francesco Yates,['canadian pop']
9750,Francis Cabrel,"['chanson', 'french pop', 'french rock']"
9752,Francis Lai,"['classic soundtrack', 'easy listening', 'french soundtrack', 'lounge', 'vintage french electronic']"
9754,Francis Poulenc,"['classical', 'neoclassicism']"
9755,Francis Santana,['merengue']
9756,Francis and the Lights,['alternative r&b']
9757,"Francisco ""Charro"" Avitia","['mariachi', 'ranchera']"
9758,Francisco Alves,"['samba', 'velha guarda']"
9759,Francisco Amor,['vintage tango']
9761,Francisco Canaro,"['tango', 'vintage tango']"
9763,Francisco Canaro Y Su Orquesta Tipica,['tango']
9764,Francisco Céspedes,"['cantautor', 'latin', 'latin pop', 'nueva cancion', 'trova']"
9766,Francisco Fiorentino,"['tango', 'vintage tango']"
9769,Francisco Tárrega,"['chill guitar', 'late romantic era']"
9770,Franck Pourcel,"['adult standards', 'easy listening', 'lounge']"
9771,Franco,"['latin', 'latin arena pop', 'latin pop', 'rock en espanol', 'tropical']"
9772,"Franco ""El Gorilla""","['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
9773,Franco Argüelles,['vallenato']
9774,Franco Battiato,"['classic italian pop', 'experimental', 'italian adult pop']"
9775,Franco Calabrese,"['classical bass', 'italian bass']"
9776,Franco Capuana,['opera']
9777,Franco Corelli,"['classical tenor', 'italian tenor', 'opera']"
9778,Franco De Vita,"['latin', 'latin arena pop', 'latin pop', 'rock en espanol', 'tropical']"
9780,Franco Ricci,['rap napoletano']
9781,Franco Ricciardi,['rap napoletano']
9789,Frank Arnold,['hoerspiel']
9791,Frank Black,"['alternative pop', 'alternative rock', 'gbvfi', 'power pop']"
9792,Frank Braley,['french classical piano']
9793,Frank Bridge,"['british modern classical', 'early modern classical', 'post-romantic era']"
9799,Frank Chacksfield & His Orchestra,"['ballroom', 'easy listening', 'light music', 'lounge']"
9800,Frank Churchill,"['disney', 'movie tunes']"
9804,Frank DD & Friends,['italian blues']
9808,Frank Ellrich,['hard trance']
9812,Frank Ifield,"['adult standards', 'brill building pop', 'classic australian country', 'classic uk pop', 'deep adult standards', 'merseybeat', 'rock-and-roll', 'yodeling']"
9813,Frank Kohnert,['berlin minimal techno']
9816,Frank Loesser,['broadway']
9819,Frank Melrose,"['barrelhouse piano', 'boogie-woogie']"
9820,Frank Miller,"['classic uk pop', 'pub rock']"
9823,Frank Ocean,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']"
9827,Frank Proffitt,"['appalachian folk', 'banjo', 'old-time', 'string band']"
9828,Frank Quintero,"['classic venezuelan pop', 'musica llanera', 'venezuelan rock']"
9829,Frank Reyes,"['bachata', 'bachata dominicana', 'dominican pop', 'latin', 'tropical']"
9832,Frank Sinatra,"['adult standards', 'easy listening', 'lounge']"
9833,Frank Sinatra Jr.,['adult standards']
9835,Frank Stallone,['yacht rock']
9837,Frank Ticheli,"['american contemporary classical', 'concert band']"
9842,Frank Wedekind,['german literature']
9843,Frank Zappa,"['album rock', 'art rock', 'experimental', 'instrumental rock', 'jazz fusion', 'jazz rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock', 'zolo']"
9845,Franke & The Knockouts,['yacht rock']
9846,Frankie Avalon,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll']"
9847,Frankie Ballard,"['contemporary country', 'country', 'country road', 'modern country rock']"
9848,Frankie Beverly,['quiet storm']
9849,Frankie Carle,"['honky-tonk piano', 'space age pop']"
9850,Frankie Cosmos,"['bedroom pop', 'bubblegrunge', 'indie garage rock', 'indie pop', 'indie rock']"
9852,Frankie Goes To Hollywood,"['art rock', 'dance rock', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
9854,Frankie J,"['dance pop', 'pop rap', 'r&b', 'urban contemporary']"
9856,Frankie Knuckles,"['acid house', 'chicago house', 'deep house', 'disco house', 'diva house', 'hip house', 'vocal house']"
9857,Frankie Laine,"['adult standards', 'brill building pop', 'cowboy western', 'deep adult standards', 'easy listening', 'lounge', 'rock-and-roll']"
9858,Frankie Lymon,"['brill building pop', 'doo-wop', 'rhythm and blues']"
9860,Frankie Miller,"['classic uk pop', 'pub rock']"
9861,Frankie Ruiz,"['latin', 'salsa', 'salsa puertorriquena', 'tropical']"
9862,Frankie Smith,['funk']
9865,Frankie Valli,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'lounge', 'motown', 'northern soul', 'rock-and-roll']"
9866,Frankie Valli & The Four Seasons,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'lounge', 'motown', 'northern soul', 'rock-and-roll']"
9867,Frankie Vaughan,"['merseybeat', 'rock-and-roll']"
9868,Frankie Yankovic,['polka']
9869,Frankie Yankovic & His Yanks,['polka']
9870,Franky,"['deep groove house', 'house', 'pop dance', 'uk dance', 'uk house']"
9871,Franky Rizardo,"['circuit', 'deep groove house', 'disco house', 'dutch house', 'dutch tech house', 'funky tech house', 'house', 'tech house']"
9872,Franky Trova,['italian tech house']
9873,Frans Brüggen,['classical performance']
9874,Frans Helmerson,['classical cello']
9875,František Pok,['galante era']
9879,Frantz Casseus,['haitian traditional']
9887,Franz Ferdinand,"['alternative rock', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'rock', 'scottish rock']"
9888,Franz Joseph Haydn,"['classical', 'classical era']"
9889,Franz Lehár,"['german opera', 'operetta', 'post-romantic era']"
9890,Franz Liszt,"['classical', 'late romantic era']"
9891,Franz Liszt Chamber Orchestra,"['chamber orchestra', 'hungarian classical performance']"
9893,Franz Rupp,['historic classical performance']
9894,Franz Schubert,"['classical', 'classical era', 'early romantic era']"
9897,Franz Waxman,['classic soundtrack']
9898,Franz Welser-Möst,['orchestral performance']
9900,Franz von Suppé,"['classical', 'late romantic era', 'operetta']"
9903,François Feldman,"['chanson', 'french pop']"
9904,François Leleux,['classical oboe']
9906,François Schubert,['german romanticism']
9907,François-Joël Thiollier,"['classical piano', 'french classical piano']"
9908,Françoise Hardy,"['chanson', 'ye ye']"
9913,Freak Nasty,"['atl hip hop', 'miami bass']"
9914,Freak Power,['acid jazz']
9915,Fred Adison,['vintage chanson']
9917,Fred Astaire,"['adult standards', 'big band', 'lounge', 'swing', 'vintage hollywood', 'vocal jazz']"
9920,Fred Bongusto,['classic italian pop']
9921,Fred Buscaglione,"['classic italian pop', 'swing italiano']"
9923,Fred Durst,['nu metal']
9926,Fred Everything,['deep house']
9927,Fred Gouin,['vintage chanson']
9928,Fred Hammond,['gospel']
9929,Fred Jackson,"['funk', 'motown', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
9932,Fred Mollin,"['calming instrumental', 'movie tunes']"
9933,Fred Neil,"['american folk revival', 'country rock', 'folk', 'folk rock', 'psychedelic rock', 'singer-songwriter', 'traditional folk']"
9936,Fred Ventura,['italian disco']
9937,Fred Waring,['vintage jazz']
9938,Fred Waring & His Pennsylvanians,['vintage jazz']
9941,Fred Wesley,"['funk', 'jazz trombone', 'modern funk', 'p funk']"
9943,Fred Wesley & The J.B.'s,['funk']
9946,Freda Payne,"['classic soul', 'motown']"
9947,Freddie Aguilar,"['classic opm', 'kundiman', 'opm']"
9948,Freddie Dredd,"['dark trap', 'meme rap', 'phonk', 'viral rap']"
9949,Freddie Foxxx,"['east coast hip hop', 'hardcore hip hop']"
9950,Freddie Gibbs,"['alternative hip hop', 'hip hop', 'indiana hip hop', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
9951,Freddie Hart,['classic country pop']
9952,Freddie Hubbard,"['avant-garde jazz', 'bebop', 'big band', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'jazz trumpet', 'soul jazz', 'vocal jazz']"
9953,Freddie Jackson,"['funk', 'motown', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'soul', 'urban contemporary']"
9954,Freddie King,"['blues', 'blues rock', 'classic rock', 'electric blues', 'texas blues', 'traditional blues']"
9955,Freddie McGregor,"['dub', 'lovers rock', 'reggae', 'rock steady', 'roots reggae']"
9956,Freddie Mercury,['glam rock']
9960,Freddie Roach,"['hard bop', 'jazz funk', 'jazz organ', 'soul jazz']"
9961,Freddie Scott,['southern soul']
9965,Freddy Cannon,"['brill building pop', 'bubblegum pop', 'deep adult standards', 'doo-wop', 'merseybeat', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
9966,Freddy Fender,"['new mexico music', 'swamp pop']"
9967,Freddy Martin,['big band']
9968,Freddy Martin & His Orchestra,['big band']
9969,Freddy Quinn,"['classic schlager', 'vintage schlager', 'volksmusik']"
9973,Frederica von Stade,"['classical mezzo-soprano', 'opera']"
9974,Frederick Delius,"['classical', 'early modern classical', 'impressionism', 'post-romantic era']"
9978,Frederick Knight,['southern soul']
9979,Frederick Loewe,['broadway']
9981,Frederick Stock,['historic orchestral performance']
9987,Free,"['ccm', 'christian music', 'world worship', 'worship']"
9988,Free Nationals,"['alternative r&b', 'indie soul']"
9989,Free Throw,"['alternative emo', 'anthem emo', 'emo', 'midwest emo', 'pop punk']"
9991,Freedom Williams,['hip house']
9992,Freedy Johnston,['power pop']
9993,Freeez,"['brit funk', 'disco', 'electro', 'hi-nrg', 'post-disco']"
9995,Freeman,"['disney', 'movie tunes']"
9997,Freestyle,"['dominican pop', 'trap dominicano']"
9998,Freestyle Fellowship,"['alternative hip hop', 'hip hop', 'jazz rap']"
9999,Freestylers,"['big beat', 'breakbeat']"
10001,Freeway,"['alternative hip hop', 'battle rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'philly rap', 'rap', 'southern hip hop']"
10003,Freiburger Barockorchester,"['barockinterpreten', 'baroque ensemble', 'choral', 'classical performance', 'historically informed performance']"
10004,Freire,"['brazilian classical piano', 'classical performance', 'classical piano']"
10007,French Montana,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
10008,French National Radio Orchestra,['radio symphony']
10009,Frenmad,['christmas instrumental']
10011,Frente!,"['chicha', 'cumbia', 'nu-cumbia']"
10013,Frequencerz,"['classic hardstyle', 'euphoric hardstyle', 'hardstyle', 'rawstyle']"
10014,Fresh,['sound']
10016,Fresh Water Sounds,['sound']
10017,Fresh Water Spa,['spa']
10019,Freshlyground,"['afropop', 'south african pop', 'south african pop dance']"
10020,Freur,"['dance rock', 'new romantic', 'new wave', 'synthpop']"
10021,Freya Ridings,"['pop', 'pop dance', 'uk pop']"
10022,Frida,"['indie singer-songwriter', 'swedish synthpop']"
10024,Friedemann,"['galante era', 'german baroque']"
10025,Friedrich Gulda,"['austrian classical piano', 'classical performance', 'classical piano']"
10027,Friedrich Kuhlau,"['danish classical', 'early romantic era', 'german romanticism']"
10028,Friedrich Schiller,['german literature']
10030,Friedrich von Flotow,"['german opera', 'german romanticism', 'late romantic era']"
10031,Friend & Lover,['bubblegum pop']
10032,Friends,"['indie pop', 'la pop']"
10036,Frisco Kid,"['dancehall', 'deep ragga', 'old school dancehall', 'riddim']"
10038,Fritz Kalkbrenner,"['german house', 'german techno', 'minimal techno', 'tropical house']"
10039,Fritz Kreisler,"['classical', 'post-romantic era', 'violin']"
10042,Fritz Reiner,"['classical performance', 'historic orchestral performance', 'orchestral performance']"
10044,Fritz Wunderlich,['classical tenor']
10045,Frode Fjellheim,['yoik']
10046,Frode Thingnæs,['norwegian jazz']
10047,From Ashes to New,"['alternative metal', 'post-screamo', 'rap rock']"
10048,From First To Last,"['metalcore', 'pop punk', 'post-hardcore', 'screamo']"
10049,Fromental Halévy,"['early romantic era', 'french opera', 'french romanticism']"
10051,Front 242,"['belgian new wave', 'ebm', 'electro-industrial', 'industrial', 'industrial metal', 'industrial rock', 'new beat', 'proto-techno', 'synthpop']"
10052,Front Porch Step,['acoustic rock']
10053,Frontline,"['classic hardstyle', 'euphoric hardstyle', 'hardstyle', 'rawstyle']"
10054,Frontliner,"['classic hardstyle', 'euphoric hardstyle', 'hardstyle', 'rawstyle']"
10055,Frost,['cali rap']
10058,Frostydasnowmann,['cali rap']
10059,Frou Frou,"['downtempo', 'etherpop', 'lilith', 'metropopolis']"
10061,Fruit Bats,"['deep new americana', 'freak folk', 'funk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'new americana', 'shimmer pop', 'stomp and holler']"
10062,Fruko Y Sus Tesos,"['cumbia', 'latin jazz', 'musica popular colombiana', 'salsa', 'salsa colombiana', 'tropical']"
10064,Frédéric Chopin,"['classical', 'early romantic era', 'polish classical']"
10067,Fréhel,['vintage chanson']
10068,Fu Manchu,"['alternative metal', 'palm desert scene', 'psychedelic doom', 'space rock', 'stoner rock']"
10069,Fuego,"['dominican pop', 'latin', 'latin hip hop', 'rap dominicano', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical', 'urbano espanol']"
10070,Fuel,"['alternative metal', 'alternative rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'rock']"
10071,Fuerza Regida,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
10072,Fugazi,"['alternative rock', 'dc hardcore', 'noise rock', 'post-hardcore', 'post-punk', 'punk']"
10073,Fugees,"['east coast hip hop', 'gangster rap', 'hip hop', 'new jersey rap', 'rap']"
10074,Fukkit,"['dark trap', 'meme rap', 'scream rap', 'underground hip hop', 'vapor trap']"
10076,Fulanito,"['latin', 'latin hip hop', 'merengue tipico', 'reggaeton', 'tropical']"
10078,Full Force,"['electro', 'new jack swing', 'urban contemporary']"
10080,Full Tilt,"['deep uplifting trance', 'epicore']"
10082,Fume,"['uk drill', 'uk hip hop']"
10083,Fun Boy Three,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'ska', 'ska revival']"
10084,Fun Fun,"['baroque pop', 'metropopolis', 'modern rock', 'pop', 'pop rock']"
10088,Funeral For A Friend,"['post-hardcore', 'screamo', 'uk post-hardcore']"
10089,Fungus Funk,"['dark psytrance', 'psychedelic trance']"
10091,Funk Machine,"['deep big room', 'sky room']"
10093,Funkadelic,"['funk', 'funk rock', 'p funk', 'psychedelic rock', 'psychedelic soul', 'soul']"
10094,Funkdoobiest,"['alternative hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'turntablism']"
10096,Funkmaster Flex,"['bronx hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'turntablism']"
10097,Funkstar De Luxe,"['danish electronic', 'pop edm']"
10098,Funky,"['alternative hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'oakland hip hop', 'rap', 'turntablism']"
10099,Funky 4 + 1,"['bronx hip hop', 'old school hip hop']"
10100,Funky Boogie Brothers,['bboy']
