,Unnamed: 0,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,songs,followers,Popularity Score,Artist ID,Image URL,Artist URL,Length
36,36,2 Chainz,0.0968403225806451,0.7767903225806451,251314.7741935484,0.6258548387096775,0.0001932796774193,0.1847403225806451,-6.142129032258063,0.2318854838709678,125.7129516129033,0.4789387096774193,61.435483870967744,1,1,62,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']","[""It's A Vibe"", 'Grey Area', 'We Own It (Fast & Furious)', 'X (with 2 Chainz & Saudi)', '4 AM', 'Champions', 'Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)', 'Alive (with Offset & 2 Chainz)', 'Bigger Than You (feat. Drake & Quavo)', 'Good Drank']",6281229,83,17lzZA2AlOHwCwFALHttmp,https://i.scdn.co/image/470dd77da564ec4cb352dcd2664ce31c337c0661,https://open.spotify.com/artist/17lzZA2AlOHwCwFALHttmp,9
38,38,2 LIVE CREW,0.0567520909090909,0.8787272727272728,242195.7272727273,0.6760000000000004,0.0125317763636363,0.3782363636363636,-11.481909090909092,0.1964727272727273,126.90122727272728,0.6045909090909093,34.81818181818182,7,1,44,"['electro', 'gangster rap', 'hip hop', 'hip house', 'miami bass', 'miami hip hop', 'old school hip hop', 'rap']","['We Want Some P--sy', 'Me So Horny', 'Hoochie Mama', 'Pop That P--sy', 'One And One', 'Dirty Nursery Rhymes', 'Get It Girl', 'Do Wah Diddy', 'The F--k Shop', ""Throw The 'D'""]",329397,52,58Dx4HPzeOO3dbpD9YYEes,https://i.scdn.co/image/3012b11c767e5acc5cd2d9650cbd313375ee0818,https://open.spotify.com/artist/58Dx4HPzeOO3dbpD9YYEes,9
40,40,2 Unlimited,0.03058,0.6985,228208.0,0.92225,0.006455925,0.08355,-11.51875,0.059275,130.971,0.7639999999999999,55.0,5,1,8,"['bubblegum dance', 'eurodance', 'europop', 'hip house']","['No limit - RAP VERSION', 'Get Ready - Rapversion Edit', 'Twilight Zone', 'Tribal Dance', 'Get Ready - Steve Aoki Vocal Radio Edit', 'Jump For Joy', 'The Real Thing', 'No One', 'Let the Beat Control Your Body', 'Get Ready - Orchestral Mix']",159873,59,18JD8DVlD1fakDAw7E9LFC,https://i.scdn.co/image/c4fdb52d1be39038a8001116929044415fbd8962,https://open.spotify.com/artist/18JD8DVlD1fakDAw7E9LFC,10
41,41,20 Fingers,0.0021876666666666,0.8793333333333333,235719.66666666663,0.7916666666666666,0.2565,0.0876,-9.098999999999998,0.0620333333333333,127.01466666666666,0.8216666666666667,55.33333333333334,11,0,3,"['eurodance', 'hip house']","['Short Dick Man - Club Mix', 'Lick It - 20 Fingers Radio Mix', 'Short Dick Man - Radio Mix', 'Lick It - 20 Finger Club Mix', 'Mr. Personality', 'Short Dick Man - Bass Mix', 'Lick It - Acappella', 'Short Dick Man - Dub Mix', 'Short Dick Man - J.J. Energy Mix', 'Short Dick Man - Accapella']",9449,51,0OarfYzJPCi3lAVZ4nhTTd,https://i.scdn.co/image/ab67616d0000b273cb5f30b072c99d6e450c688a,https://open.spotify.com/artist/0OarfYzJPCi3lAVZ4nhTTd,10
45,45,2002,0.9379000000000002,0.2183,312737.4,0.1161,0.8410000000000002,0.09898,-20.032100000000003,0.0342699999999999,159.01279999999997,0.0819999999999999,28.0,4,1,20,"['new age', 'operatic pop']","['Lady of the Moon', 'We Meet Again', 'The Sound of Still Water', 'Cariad', 'Bí Thusa Mo Shúile', 'City of Peace', 'Éamonn an Chnoic', 'Seoithín Seo Hó / Gartan Mother’s Lullaby', 'Away from the Roll of the Sea', 'Hó Bha In']",21307,52,6zVSYiNDYelMzhMiZQJU7W,https://i.scdn.co/image/c4ba93de587223e3eb9fa592d0f8a6665be2cd37,https://open.spotify.com/artist/6zVSYiNDYelMzhMiZQJU7W,10
48,48,24kGoldn,0.141665,0.7145,157811.41666666663,0.6840000000000002,2.1533333333333336e-06,0.1615,-4.680166666666667,0.0944833333333333,129.34883333333332,0.5794166666666666,75.66666666666667,9,0,12,['cali rap'],"['Mood (feat. iann dior)', 'Tick Tock (feat. 24kGoldn)', 'Mood (Remix) feat. Justin Bieber, J Balvin & iann dior', 'Company (feat. Future)', 'CITY OF ANGELS', 'VALENTINO', 'Coco (feat. DaBaby)', '3, 2, 1', 'Tinted Eyes (feat. blackbear & 24kGoldn)', 'Love Or Lust']",994037,87,6fWVd57NKTalqvmjRd2t8Z,https://i.scdn.co/image/f3f6ce3ff1651091cf10242150edca3cf2506a9a,https://open.spotify.com/artist/6fWVd57NKTalqvmjRd2t8Z,10
51,51,2CELLOS,0.632,0.7559999999999999,214680.0,0.8140000000000001,0.0006799999999999,0.161,-6.11,0.0437,135.043,0.905,61.0,0,1,2,"['bow pop', 'cello', 'classify']","['May it Be', 'With Or Without You', 'Thunderstruck', 'Despacito', 'Pirates of the Caribbean', 'Game of Thrones Medley', 'We Found Love', 'Moon River', 'Now We are Free', 'Wake Me Up']",799119,64,6Fi8CHfO8WGtu3yO8c2Mc4,https://i.scdn.co/image/ab6761610000e5eb0d3a1c0e7f2e2664774ac4cd,https://open.spotify.com/artist/6Fi8CHfO8WGtu3yO8c2Mc4,10
52,52,2KBABY,0.512,0.6859999999999999,105600.0,0.362,0.0,0.168,-12.042,0.617,126.7,0.6,70.0,2,1,2,['kentucky hip hop'],"['Like This', 'Old Streets', 'MAD', 'OLD STREETS (feat. Lil Durk) - Remix', 'Dreaming', 'FAXTS', '2kizzy Flow', 'HALF A MILLI (feat. YFN Lucci)', 'Rounds', 'OLD SOUL (feat. G Herbo)']",221569,67,4mkjpWbFO45SyaHiM9GOVE,https://i.scdn.co/image/fe3450bf6a8ec5eebec87cbc330696d2f41c9294,https://open.spotify.com/artist/4mkjpWbFO45SyaHiM9GOVE,10
53,53,2NE1,0.00767,0.8190000000000001,208731.0,0.8440000000000001,0.00834,0.0559999999999999,-3.739,0.038,127.997,0.687,64.0,0,1,2,"['dance pop', 'k-pop', 'k-pop girl group', 'pop dance']","['I Am The Best', 'COME BACK HOME', 'You and I (Park Bom)', '멘붕 - CL SOLO', 'FIRE', 'Goodbye', 'GOTTA BE YOU', 'Go Away', 'Falling In Love', ""I DON'T CARE""]",1823397,62,1l0mKo96Jh9HVYONcRl3Yp,https://i.scdn.co/image/61845400bd0a61c5c1835fb133c91461ec160afc,https://open.spotify.com/artist/1l0mKo96Jh9HVYONcRl3Yp,9
63,63,347aidan,0.799,0.8785000000000001,189020.5,0.3665,4.097500000000001e-05,0.213,-11.438,0.09285,100.4925,0.5855,77.0,9,0,4,['sad rap'],"['Dancing in My Room', 'Demons and Monsters', 'IDWK', 'WHEN THE DEVIL CRIES', 'Be Happy', 'till the sun comes', 'Sunr!se', 'Live How I Want', 'Elevate', ""Don't Go /:""]",184115,73,0bBz5bRBkExaej2HxtVfCw,https://i.scdn.co/image/c96e50535a27c7e8e28f773fcc111ebdc9e8ea5b,https://open.spotify.com/artist/0bBz5bRBkExaej2HxtVfCw,9
66,66,3BallMTY,0.213,0.792,193533.0,0.916,3.11e-05,0.061,-5.01,0.0685,131.895,0.966,60.0,9,1,1,['trival'],"['Inténtalo (feat. América Sierra & El Bebeto)', 'Beso Al Aire (feat. América Sierra & Smoky)', 'Quiero Bailar (All Through the Night)', 'La Noche Es Tuya', 'Baile De Amor (feat. Joss Favela)', 'De Las 12 A Las 12', 'Tribal Guarachoso', 'Money Maker - 3BallMTY Remix', 'Tu Carita (feat. Morenito de Fuego)', 'Tequila']",86266,53,1MLs9allBZrajb5Dc4146L,https://i.scdn.co/image/73e5a26441a4020f64c29b51f6dbac866498b4f6,https://open.spotify.com/artist/1MLs9allBZrajb5Dc4146L,10
67,67,3LAU,0.0317286666666666,0.5193333333333333,162462.5,0.9253333333333332,0.1302522833333333,0.2577166666666667,-5.8455,0.0923,119.44566666666668,0.3468333333333333,25.5,5,1,6,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'future bass', 'mashup', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']","['Everything', 'Better With You', 'Apocalyptic', 'Tokyo (feat. XIRA)', 'Game Time (feat. Ninja)', 'Touch', 'Into You - 3LAU Remix', 'How You Love Me', 'At Night (with GRABBITZ)', 'Is It Love']",310816,63,4YLQaW1UU3mrVetC8gNkg5,https://i.scdn.co/image/858a31c68b3379a0e7e64b81b74e6b3362cdddcd,https://open.spotify.com/artist/4YLQaW1UU3mrVetC8gNkg5,10
75,75,4 Non Blondes,0.18415,0.5286666666666667,239673.33333333328,0.57,5.1e-07,0.1266333333333333,-10.100500000000002,0.0382499999999999,117.87649999999998,0.4461666666666666,48.0,7,1,12,"['new wave pop', 'pop rock']","[""What's Up?"", 'Spaceman', 'Pleasantly Blue', 'Dear Mr. President', 'Morphine & Chocolate', 'Drifting', 'Train', 'Superfly', 'Old Mr. Heffer', 'Calling All The People']",317978,68,0Je74SitssvJg1w4Ra2EK7,https://i.scdn.co/image/3cd1494789e29fbc85793f633def0ff7915c5872,https://open.spotify.com/artist/0Je74SitssvJg1w4Ra2EK7,9
78,78,4 Strings,0.0008630166666666,0.5386666666666667,133714.0,0.8759999999999999,0.3417333333333333,0.4301666666666666,-7.161333333333332,0.0983333333333333,134.64366666666663,0.2530166666666667,25.5,1,0,6,"['bubble trance', 'dutch trance', 'trance', 'uplifting trance', 'vocal trance']","['Take Me Away (Into The Night) - Vocal Radio Mix', 'The Silmarillia - 4 Strings Radio Edit', 'Take Me Away - BLR Remix', 'Take Me Away (Into The Night) - Vocal Mix', 'Diving 2018', 'Take Me Away (2015 Mix)', 'Safe From Harm - Omar Sherif Remix', 'Enough - Radio Edit', 'Rewild The World', 'Diving - Radio Vocal Mix']",34156,51,2a0fbijQhcaj1hOFp5b3id,https://i.scdn.co/image/46d499070324a37305e071c9f805611f657dde36,https://open.spotify.com/artist/2a0fbijQhcaj1hOFp5b3id,10
