,artists,genres,followers,Artist ID,Popularity Score,Image URL
28,6LACK,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",2895445,4IVAbR2w4JJNJDDRFP3E83,85,https://i.scdn.co/image/ab6761610000e5eb7762326163d48d5af4eae980
29,6ix9ine,['emo rap'],6416834,7gZfnEnfiaHzxARJ2LeXrf,79,https://i.scdn.co/image/ddd1eba0b544ae7d305bcddbc9eb79357434092a
30,88GLAM,"['canadian hip hop', 'melodic rap', 'rap', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']",356308,2I9SLklAOG0vdMiUUMNxRl,61,https://i.scdn.co/image/ab6761610000e5eb8ae972a423fa21158266fac8
31,88rising,"['asian american hip hop', 'pop']",655019,1AhjOkOLkbHUfcHDSErXQs,71,https://i.scdn.co/image/446fad32a42d3698c110bc3590a4f8cea1cbcbba
32,9lokknine,['florida rap'],275123,0ceH34CATvfgphxnLRWFkm,64,https://i.scdn.co/image/14a9c80d3b4a9d7717e45ca1294ea61033bb73a2
33,9th Wonder,"['alternative hip hop', 'boom bap', 'hip hop', 'north carolina hip hop']",144843,4s8ZGMVf3OiPktSP4ulpqU,61,https://i.scdn.co/image/a25c52a834a87c30bd45830b2036991a09af824c
34,A Day To Remember,"['metalcore', 'pop punk', 'screamo']",1864654,4NiJW4q9ichVqL1aUsgGAN,76,https://i.scdn.co/image/25e98c889e5cadd0b053c5e70dc8a660facd880c
35,A Flock Of Seagulls,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",396251,0uAjBatvB4ubpd4kCfjmNt,61,https://i.scdn.co/image/0e0b74658f7e16190f23d795648c888c4dd40f2a
36,A Great Big World,"['indiecoustica', 'modern rock', 'neo mellow', 'piano rock', 'pop rock']",450598,5xKp3UyavIBUsGy3DQdXeF,69,https://i.scdn.co/image/1ce0470c0f497de6ef061790f9ed6d204f165da9
37,A Perfect Circle,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']",1325046,4DFhHyjvGYa9wxdHUjtDkc,67,https://i.scdn.co/image/7802c0c19c9d46280366f7530cb28a7be25b1b90
38,A R I Z O N A,"['edm', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'tropical house']",357313,7hOGhpa8RMSuDOWntGIAJt,68,https://i.scdn.co/image/02bb7d7009621e656b39d6ca32ba890d5a95a6b1
39,A Tribe Called Quest,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']",1435053,09hVIj6vWgoCDtT03h8ZCa,71,https://i.scdn.co/image/6f987ab74c72f0c50b19b05ea775bc4033c57706
40,A$AP Ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",2921189,5dHt1vcEm9qb8fCyLcB3HL,79,https://i.scdn.co/image/25bdf244c941a7dcf01a74f56a37e7f30eb6b1a4
41,A$AP Mob,"['hip hop', 'rap', 'southern hip hop', 'trap', 'vapor trap']",1695247,7yO4IdJjCEPz7YgZMe25iS,67,https://i.scdn.co/image/fa30308f04ed43a632e19c24b7ac0b6162ce4cde
42,A-Mei Chang,"['c-pop', 'mandopop']",453154,6noxsCszBEEK04kCehugOp,61,https://i.scdn.co/image/9679594d0e3f5412892348466d5ab2645809d568
43,A7S,['scandipop'],17709,5Wg2b4Mp42gicxEeDNawf7,82,https://i.scdn.co/image/f3ab7b7da390e9ff37a960141491a21bbcfaafcc
44,ABBA,"['europop', 'swedish pop']",5558002,0LcJLqbBmaGUft1e9Mm8HV,81,https://i.scdn.co/image/6dec77bd3cdd0c634a1c9400c3c7fe8b0f1aa56e
45,ABC,"[""preschool children's music""]",16680,26UV9EKIInWeV0jJysGZum,60,https://i.scdn.co/image/8068ae928f927c4ef5a938ab9b12972342485683
