,artists,songs
11893,Natanael Cano,"['Amor Tumbado', 'Arriba', 'Pacas Verdes', 'Así Tocó Mi Vida', 'Vengo De Nada', 'El Drip', 'Verdes Verdes', 'Los 4 Ases (Corrido Tumbado)', 'El de La Codeina', 'Soy El Diablo - Remix']"
11876,Nat,"['Amor Tumbado', 'Arriba', 'Pacas Verdes', 'Así Tocó Mi Vida', 'Vengo De Nada', 'El Drip', 'Verdes Verdes', 'Los 4 Ases (Corrido Tumbado)', 'El de La Codeina', 'Soy El Diablo - Remix']"
13089,Piero Piccioni,"['Amore mio aiutami - Main Theme', 'Easy Lovers', 'Amore che nasce', 'Mexican Dream', 'Richmond Bridge', 'Violino', ""It's Possible"", 'Luna, amore e no', 'Camille 2000 (Titles)', 'Charms']"
17275,Thunder Storm,"['An Angry Thunderstorm', 'A Gentle Thunderstorm', 'Heavier Rain Fall with Thunder', 'Midnight Thunderstorm Part 2', 'Midnight Thunderstorm Part 1', 'Thunder Storms', 'Big Thunderstorm Coming and Going', 'Thunderstorm in the Backyard', 'Thunderstorm & Rain Sounds', 'Rain Hide']"
1699,Berliner Philharmoniker,"['An der schönen blauen Donau, Op.314', 'Suite No.3 In D, BWV 1068: 2. Air', 'Orfeo Ed Euridice: Dance Of The Blessed Spirits (Act 2)', 'Requiem in D Minor, K. 626: 3. Sequentia: Lacrimosa - Live', 'Adagio For Strings And Organ In G Minor', 'Valse triste, Op. 44', 'Quintettino Op.30 No.6, G.324: 4. Passacalle', 'Also sprach Zarathustra, Op.30, TrV 176: Prelude (Sonnenaufgang)', 'Canon and Gigue in D major - arr. Max Seiffert: 1. Canon', 'Cello Concerto In B Minor, Op.104, B. 191: 1. Allegro']"
8189,Johann Strauss II,"['An der schönen blauen Donau, Op.314', 'The Blue Danube', 'Marcha Radetzky, Op.228', 'The Blue Danube Waltz, Op. 314', 'Die Fledermaus: Overture', 'An der schönen blauen Donau, Op.314', 'Voices Of Spring, Op. 410', 'Strauss & Co - Medley', 'Frühlingsstimmen, Op. 410', 'An der schönen blauen Donau, Walzer, Op. 314']"
12265,Novo Amor,"['Anchor', 'State Lines', 'Carry You', 'Repeat Until Death', 'Alps', 'Haven (from Life Is Strange)', 'From Gold', 'Weather', 'Ontario', 'Opaline']"
1482,Banda Guadalajara Express,"['Anda Borracho El Buey', 'Tri Triki Tri Traka', 'Ya Me Habían Dicho', 'Mis Dos Amantes', 'Un Indio Quiere Llorar', 'No Vuelvo Contigo', 'Te Vas A Acordar De Mí', 'Ya Para Qué (Para Qué)', 'Cuando Se Fue', 'La Roncóna']"
16816,The Originals,"['Angel Baby', 'Angel Baby', 'I Found a Dream', 'Angel Baby (Spanglish)', 'Lonely Blue Nights', 'My Darling Forever', 'Angel Baby - Single Version', 'Angel from Above', 'Kinda Makes You Wonder', 'Angel Baby - Stereo Mix']"
13942,Robbie Williams,"['Angels', 'Feel', 'Candy', 'Rock DJ', ""She's The One"", 'Let Me Entertain You', ""Somethin' Stupid"", 'Better Man', 'Love My Life', 'Supreme']"
11664,Moti,"['Another Life', 'Voices', 'Brand New Numb', 'Somebody Told Me', 'Disguise', 'Reincarnate', 'Eternally Yours', '</c0de>', 'Necessary Evil (feat. Jonathan Davis)', 'Thoughts & Prayers']"
13370,Queen,"['Another One Bites The Dust - Remastered 2011', 'Bohemian Rhapsody - Remastered 2011', ""Don't Stop Me Now - Remastered 2011"", 'Under Pressure - Remastered 2011', 'We Will Rock You - Remastered', 'I Want To Break Free - Remastered 2011', 'Radio Ga Ga - Remastered 2011', 'Crazy Little Thing Called Love - Remastered 2011', 'We Are The Champions - Remastered 2011', 'Somebody To Love - Remastered 2011']"
6576,Gregorian Chant,"['Antiphon: Ave Maria', 'Christe Redemptor omnium - Hymnus ad Vesperas tempore Nativitatis Domini', 'Kyrie V - Kyrie magnae Deus potentiae, Vat. V/In Nativitate Domini ad Missam in die', 'Oratio dominica: Praeceptis salutaribus moniti / Pater noster - Live', 'Te Deum - Hymnus (tonus monasticus)', 'Victimae paschali laudes - Sequentia Tempore Paschali', 'Sanctus 5 - In Nativitate Domini ad Missam in die', 'Marian Antiphons. Alma Redemptoris. Ave Regina Caelorum. Regina Caeli. Salve Regina', 'Puer qui natus est nobis - Introitus/In Nativitate Domini ad Missam in die', 'Gloria V - In Nativitate Domini ad Missam in die']"
7428,Irma Thomas,"['Anyone Who Knows What Love Is (Will Understand)', 'Time Is On My Side', 'Ruler of My Heart', 'Straight From The Heart', 'Ruler Of My Heart', ""It's Raining"", 'Wish Someone Would Care', 'I Need Your Love So Bad', 'Live Again', 'Breakaway']"
17507,Tony Vega,"['Aparentemente', 'Ella', 'Esa Mujer', 'Lo Mío Es Amor', 'Yo Me Quedo', 'Olvídalo Ya', 'Esposa', 'Haremos El Amor', 'Deja', 'Carita De Sol']"
18088,Víctor Manuelle,"['Apiádate de Mi', 'No Quería Engañarte', 'He Tratado', 'Tengo Ganas', 'Víctimas las Dos', 'Si Tú Me Besas', 'Mala y Peligrosa (feat. Bad Bunny)', 'Boogaloo Supreme', 'Qué Habría Sido de Mí', 'Por Ella']"
18359,Willie The Kid,"['Appalachian Meeting', 'Mother of Pearls (feat. Eto)', 'Egregious', 'Cork Fee (feat. Action Bronson)', ""Glass Shoppin' (feat. Vado)"", 'Dirty Game', 'Plum Wine', 'Medusa', ""Brewster's Millions (feat. Curren$y)"", 'Sepia Tone 2']"
16105,The 5th Dimension,"['Aquarius/Let The Sunshine In (The Flesh Failures) [Remastered]', 'Let The Sunshine In (Reprise) - Remastered 2000', 'Wedding Bell Blues - Remastered 2000', 'Up, Up and Away', 'One Less Bell To Answer', ""(Last Night) I Didn't Get To Sleep At All"", ""Feelin' Alright?"", 'Stoned Soul Picnic - Remastered 2000', 'If I Could Reach You', ""Workin' On A Groovy Thing - Remastered 2000""]"
17254,Thompson Square,"['Are You Gonna Kiss Me Or Not', ""If I Didn't Have You"", 'Glass', ""Everything I Shouldn't Be Thinking About"", 'A Love Like This', 'Masterpiece', 'I Got You', 'You Make It Look So Good', 'With or Without You', 'Trans Am']"
8045,Jimmy Durante,"['As Time Goes By', 'Smile (From United Artists Film ""Modern Times"")', 'The Glory of Love', ""I'll Be Seeing You"", 'Make Someone Happy', 'Try a Little Tenderness', 'Young at Heart', ""Don't Lose Your Sense of Humor"", ""In the Other Fellow's Yard"", 'Frosty The Snowman']"
3551,Cristian Castro,"['Azul', 'Por Amarte Así', 'Lloviendo Estrellas', 'No Podrás', 'Resistiré', 'Es Mejor Así', 'Yo Quería', 'Es Mejor Así (feat. Reik) - Primera Fila - Live Version', 'Simplemente Tú', 'Volver a Amar']"
4051,David Guetta,"['BED', 'Floating Through Space', 'Memories (feat. Kid Cudi) - 2021 Remix', ""Let's Love"", 'Titanium (feat. Sia)', 'Memories (feat. Kid Cudi)', 'Sexy Bitch (feat. Akon)', 'Big (feat. Gunna)', 'Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)', 'Say My Name']"
3909,Danny Brown,"['BUZZCUT (feat. Danny Brown)', 'Grown Up', 'Really Doe', ""Ain't it Funny"", '25 Bucks (feat. Purity Ring)', 'Kush Coma (feat. A$AP Rocky & Zelooperz)', 'Best Life', 'Detroit Vs. Everybody', '3 Tearz', 'Dirty Laundry']"
8829,Kate Bush,"['Babooshka - 2018 Remaster', 'Wuthering Heights', 'Running Up That Hill (A Deal With God) - 2018 Remaster', 'Cloudbusting - 2018 Remaster', ""This Woman's Work"", 'The Man with the Child in His Eyes', 'Hounds Of Love - 2018 Remaster', 'Army Dreamers - 2018 Remaster', 'Suspended In Gaffa', 'And Dream Of Sheep - 2018 Remaster']"
13358,Quality Control,"['Baby (Lil Baby feat. DaBaby)', 'Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)', '100 Racks (Offset feat. Playboi Carti)', 'Too Hotty', 'Ice Tray', 'My Dawg', 'Pink Toes (Offset, DaBaby feat. Gunna)', 'Menace', ""Bosses Don't Speak"", 'Big Rocks (Offset feat. Young Thug)']"
9653,Levert,"['Baby Hold on to Me (feat. Eddie Levert)', 'Made to Love Ya', 'Mr. Too Damn Good', ""Thinkin' Bout It"", ""I'd Give Anything"", 'U Got That Love (Call It a Night)', 'What About Me', 'Funny', ""Didn't We"", 'Everyday (Family Reunion)']"
13199,Pooh Shiesty,"['Back In Blood (feat. Lil Durk)', 'Neighbors (feat. BIG30)', 'SoIcyBoyz 2 (feat. Pooh Shiesty, Foogiano & Tay Keith)', 'Monday to Sunday (feat. Lil Baby & BIG30)', '7.62 God', 'Ugly (feat. Gucci Mane)', 'SoIcyBoyz 3 (feat. Gucci Mane, Pooh Shiesty, Foogiano & Tay Keith)', 'Box of Churches (feat. 21 Savage)', 'Guard Up', 'See Red']"
7994,Jhené Aiko,"['Back to the Streets (feat. Jhené Aiko)', 'B.S. (feat. H.E.R.)', 'Sativa', 'P*$$Y Fairy (OTW)', ""While We're Young"", 'Lead the Way', 'The Worst', 'On The Way (feat. Mila J)', 'By Yourself (feat. Jhené Aiko & Mustard)', 'Triggered (freestyle)']"
6236,George Thorogood,"['Bad To The Bone', 'One Bourbon, One Scotch, One Beer', 'Who Do You Love?', 'I Drink Alone', 'Move It On Over', 'Get A Haircut', 'Delaware Slide', 'Gear Jammer', 'Madison Blues', 'Ride On Josephine']"
6237,George Thorogood & The Destroyers,"['Bad To The Bone', 'One Bourbon, One Scotch, One Beer', 'Who Do You Love?', 'I Drink Alone', 'Move It On Over', 'Get A Haircut', 'Delaware Slide', 'Gear Jammer', 'Madison Blues', 'Ride On Josephine']"
14666,Selena Gomez,"['Baila Conmigo (with Rauw Alejandro)', 'Lose You To Love Me', 'Selfish Love (with Selena Gomez)', 'Wolves', 'Dámelo To’ (feat. Myke Towers)', 'Taki Taki (with Selena Gomez, Ozuna & Cardi B)', 'It Ain’t Me (with Selena Gomez)', 'De Una Vez', 'Ice Cream (with Selena Gomez)', 'Back To You - From 13 Reasons Why – Season 2 Soundtrack']"
18582,Young Bo,"['Bandit (with YoungBoy Never Broke Again)', 'TRAGIC (feat. Youngboy Never Broke Again & Internet Money)', 'Make No Sense', 'Kacey Talk', 'Toxic Punk', 'My Window (feat. Lil Wayne)', 'Slime Belief', 'What That Speed Bout!?', 'All In', 'Self Control']"
18602,YoungBoy Never Broke Again,"['Bandit (with YoungBoy Never Broke Again)', 'TRAGIC (feat. Youngboy Never Broke Again & Internet Money)', 'Make No Sense', 'Kacey Talk', 'Toxic Punk', 'My Window (feat. Lil Wayne)', 'Slime Belief', 'What That Speed Bout!?', 'All In', 'Self Control']"
12005,Neve,"['Bandit (with YoungBoy Never Broke Again)', 'TRAGIC (feat. Youngboy Never Broke Again & Internet Money)', 'Make No Sense', 'Kacey Talk', 'Toxic Punk', 'My Window (feat. Lil Wayne)', 'Slime Belief', 'What That Speed Bout!?', 'All In', 'Self Control']"
17951,Vicious,"['Bands (feat. OhGeesy, Fenix Flexin & Master Kato)', 'Aww Shit', 'Moving Work (feat. Fenix Flexin, Rob Vicious & OhGeesy)', 'Gas', 'Never Be You', 'Run It Back (feat. 03 Greedo)', 'C Notes (feat. Fenix Flexin & Ohgeesy)', 'Crash Dummy', 'Occupied (feat. Rob Vicious & Fenix Flexin)', 'Traplantic']"
5695,Flex,"['Bands (feat. OhGeesy, Fenix Flexin & Master Kato)', 'Change Ya Life', 'Pressure (feat. OhGeesy & Fenix Flexin)', 'Perc Popper', 'Hoe Shit', 'Fuck It Up (feat. Mike Sherm)', 'Moving Work (feat. Fenix Flexin, Rob Vicious & OhGeesy)', 'How We Do It (feat. Wiz Khalifa)', 'Molly Water (feat. Fenix Flexin & OhGeesy)', 'Disgusting']"
15183,Sohodolls,"['Bang Bang Bang Bang', 'Mayday', 'Stripper', 'Bang Bang Bang Bang - Remastered 2021', 'Prince Harry', 'Period', ""I'm Not Cool"", 'My Vampire', 'Stripper - Remastered 2020', 'Pleasures Of Soho']"
6558,Green Day,"['Basket Case', 'American Idiot', 'Wake Me up When September Ends', '21 Guns', 'Good Riddance (Time of Your Life)', 'Boulevard of Broken Dreams', 'When I Come Around', 'Holiday / Boulevard of Broken Dreams', 'Brain Stew', 'Holiday']"
11941,Neal Hefti Orchestra,"['Batman Theme - from ""Batman"" A Greenway Production in association with Twentieth Century-Fox Television', 'Evil Plot To Blow Up Batman', 'Sewer Lady', 'Batman Chase', 'The Mafista', 'The Batusi', 'Eivol Ekdol, The Albanian Genius', ""Holy Diploma, Batman - Straight A's"", 'Mr. Freeze', 'Just A Simple Millionaire']"
11940,Neal Hefti & his Orchestra and Chorus,"['Batman Theme - from ""Batman"" A Greenway Production in association with Twentieth Century-Fox Television', 'Evil Plot To Blow Up Batman', 'Sewer Lady', 'Batman Chase', 'The Mafista', 'The Batusi', 'Eivol Ekdol, The Albanian Genius', ""Holy Diploma, Batman - Straight A's"", 'Mr. Freeze', 'Just A Simple Millionaire']"
4154,Dean Lewis,"['Be Alright', 'Waves', 'Half A Man', 'Falling Up', 'Used To Love (with Dean Lewis)', 'Stay Awake', '7 Minutes', 'Lose My Mind - Acoustic', 'Need You Now - Acoustic', 'Waves - Acoustic']"
14584,Scoop,"['Be Faithful', 'Be Faithful', 'Level Up (feat. Missy Elliott & Fatman Scoop) - Remix', 'Salt Shaker Extended Remix', 'Call Me King Kong B!T%H!!!', 'It Takes Scoop (feat. DJ Kool)', 'Pump Up', 'Make Some Noise', 'Sunrise', 'Got It - Fatman Scoop Remix']"
6170,Gene Vincent & His Blue Caps,"['Be-Bop-A-Lula', 'Hold Me, Hug Me, Rock Me', 'Bluejean Bop', 'Say Mama', 'Race With The Devil', ""Cruisin'"", 'Who Slapped John?', 'Rocky Road Blues', 'You Told A Fib', 'Red Blue Jeans And A Pony Tail']"
10843,Maroon 5,"['Beautiful Mistakes (feat. Megan Thee Stallion)', 'Memories', 'Lifestyle (feat. Adam Levine)', 'Payphone', 'Sugar', 'Animals', 'Maps', 'She Will Be Loved - Radio Mix', 'This Love', 'Moves Like Jagger - Studio Recording From The Voice Performance']"
11103,Megan Thee Stallion,"['Beautiful Mistakes (feat. Megan Thee Stallion)', 'WAP (feat. Megan Thee Stallion)', 'Body', 'Cry Baby (feat. DaBaby)', 'Savage', 'Savage Remix (feat. Beyoncé)', 'Girls in the Hood', 'Captain Hook', 'Cash Shit (feat. DaBaby)', 'Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)']"
18745,aether,['Becalming']
9246,Kyau & Albert,"['Beehive', 'Another Time - Album Edit', 'Candy', 'Made Of Sun (Mixed) - Kyau & Albert Hard Dub', 'Velvet Morning (Mixed) - Aalto Remix', 'Fears - Acoustic Version', 'Shimmer', 'I Feel Love - John Grand Remix', 'Runaway Girl', 'Reverie - Original Mix']"
18564,Yoke Lore,"['Beige', 'Truly Madly Deeply - Recorded at Spotify Studios NYC', 'Goodpain', 'Chin Up', 'Everybody Wants to Be Loved', 'Beige (unburdened)', 'You Don’t Look at Me the Same', 'Ride', 'Safe and Sound', 'Goodpain - Recorded at Spotify Studios NYC']"
7333,Imagine Dragons,"['Believer', 'Follow You', 'Thunder', 'Bad Liar', 'Natural', 'Demons', 'Whatever It Takes', 'Radioactive', 'Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)', 'On Top Of The World']"
18467,Xan,"['Betrayed', 'Color Blind', 'Lies (feat. Lil Skies)', 'Slingshot', 'Live or Die', 'Deceived', 'Xanarchy', 'Moonlight', 'Who Are You?', 'Told Ya - WHIPPED CREAM VIP MIX']"
8366,Johnson,"['Better Together', 'Banana Pancakes', 'Upside Down', 'Sitting, Waiting, Wishing', 'Sunsets For Somebody Else', 'I Got You', 'My Mind Is For Sale', ""Don't Let Me Down"", 'Flake', 'Imagine']"
8250,John Johnson,"['Better Together', 'Banana Pancakes', 'Upside Down', 'Sitting, Waiting, Wishing', 'Sunsets For Somebody Else', 'I Got You', 'My Mind Is For Sale', ""Don't Let Me Down"", 'Flake', 'Imagine']"
7560,Jack Johnson,"['Better Together', 'Banana Pancakes', 'Upside Down', 'Sitting, Waiting, Wishing', 'Sunsets For Somebody Else', 'I Got You', 'My Mind Is For Sale', ""Don't Let Me Down"", 'Flake', 'Imagine']"
8979,Kevin Gates,"['Big Gangsta', 'Me Too', 'Really Really', '2 Phones', 'Power', ""I Don't Get Tired (#IDGT) (feat. August Alsina)"", 'Push It', 'Hard For', 'Time for That', 'Broken Love']"
10889,Marty Robbins,"['Big Iron', 'El Paso', ""They're Hanging Me Tonight"", ""The Master's Call"", 'Saddle Tramp', 'A White Sport Coat (with Ray Conniff)', 'Love Is Blue', 'Cool Water', 'Devil Woman', 'Singing the Blues']"
11245,Michael Jackson,"['Billie Jean', 'Beat It', 'Smooth Criminal - 2012 Remaster', ""Don't Stop 'Til You Get Enough"", 'Rock with You - Single Version', 'The Way You Make Me Feel - 2012 Remaster', 'Bad - 2012 Remaster', ""They Don't Care About Us"", 'P.Y.T. (Pretty Young Thing)', 'Don’t Matter To Me (with Michael Jackson)']"
5328,Esthero,"['Black Mermaid', 'Superheroes', 'That Girl', ""Wikked Lil' Grrrls"", ""Country Livin' (The World I Know)"", 'Heaven Sent', 'I Drive Alone', 'Breath From Another', 'Lounge', 'Anywayz']"
9919,Long Distance Calling,"['Black Paper Planes', 'Old Love', 'Lines (feat. Petter Carlsen)', 'Out There', 'Ascending', 'Hazard', 'Dullahan', 'Fever', 'Seance', 'Immunity']"
10602,Manfred Mann's Earth Band,"['Blinded By The Light', 'Blinded By The Light - Single edit', ""Davy's On The Road Again"", 'For You', 'I Came for You', 'Mighty Quinn', 'Father Of Day, Father Of Night', 'Questions', 'Spirits In The Night', 'California - Single Edit']"
2025,Blue Boy,"['Blue Moon of Kentucky', 'Blue Moon Of Kentucky', 'In The Pines', 'Wayfaring Stranger', 'Molly & Tenbrooks - 1957 Single Version', 'Blue Yodel No. 4', 'Mule Skinner Blues (Blue Yodel #8)', 'Footprints In The Snow', 'New Mule Skinner Blues', 'Rocky Road Blues']"
1853,Bill Monroe & His Blue Grass Boys,"['Blue Moon of Kentucky', 'Blue Moon Of Kentucky', 'In The Pines', 'Wayfaring Stranger', 'Molly & Tenbrooks - 1957 Single Version', 'Blue Yodel No. 4', 'Mule Skinner Blues (Blue Yodel #8)', 'Footprints In The Snow', 'New Mule Skinner Blues', 'Rocky Road Blues']"
14845,Shep,"['Blue on Black', 'True Lies', 'Deja Voodoo', 'Dark Side of Love', 'Somehow, Somewhere, Someway', 'Diamonds & Gold', 'Aberdeen', 'While We Cry - Live', 'Woman Like You', 'Diamonds & Gold - Live']"
9738,Lil' Mo,"['Blueberry Faygo', 'JETSKI (feat. Lil Mosey & Lil Tecca)', 'Noticed', 'Stuck In A Dream (feat. Gunna)', 'Try Me', 'Kamikaze', 'Enough', 'Holy Water', 'Only The Team (with Lil Mosey & Lil Tjay)', 'Jumpin Out The Face']"
10395,M.A.N.D.Y.,"['Body Language - Original Mix', 'O Superman - SIS Remix', 'Tonite - Pete Tong Remix', 'O Superman - Original', 'Body Language - Danniel Selfmade Infamous Vision', 'Home - Kollektiv Turmstrasse - Interstellar Mix', 'Body Language - Señor Coconut Remix', 'Donut - Gui Boratto Remix', 'Rabbit Mountain - 8 AM Version', 'Tonite - Rebolledo Collectors Edition']"
16369,The Dandy Warhols,"['Bohemian Like You', 'We Used To Be Friends', 'Get Off', 'Godless', 'Not If You Were The Last Junkie On Earth', 'The Last High', 'Styggo', 'Every Day Should Be A Holiday', 'Sleep', 'Mohammed']"
15968,Taste,"['Boogie Oogie Oogie - Remastered 2004', 'Boogie Oogie Oogie - Remastered', 'Sukiyaki - Remastered', 'Boogie Oogie Oogie - Re-Recording', 'Boogie Oogie Oogie - Remastered', 'Rescue Me - Remastered', ""Ain't Nothin' But A Party - Remastered"", 'Sayonara', 'I Love You', 'Boogie Oogie Oogie - New Boogie Mix']"
12697,Parov Stelar,"['Booty Swing', 'All Night', 'The Sun - Klingande Remix Radio Edit', 'The Sun', 'Catgroove', 'Dark Paradise - Parov Stelar Remix', 'Tango Del Fuego', 'Mambo Rap', 'Brass Devil - Stelartronic Remix', 'Brass Devil']"
4943,Edwin Luna y La Trakalosa de Monterrey,"['Borracho de Amor', 'Fíjate Que Si', 'Broche de Oro', 'Supiste Hacerme Mal', 'Préstame a Mi Padre', 'Saludos a Mi Ex', 'Mi Padrino el Diablo', 'Si Ya No Me Quieres', 'Como los Gatos', 'Pude Haber Sido Yo']"
13167,Pleasure P,"['Boyfriend #2', 'Did You Wrong', 'I Love Girls', 'Letter To My Ex', 'Under', 'Rock with You', 'Start Over', 'Paralyzed', 'She Likes', 'Kiss Me']"
7976,Jesus Culture,"['Break Every Chain - Live', 'Holy Spirit - Live', 'Fearless - Live', 'Your Love Never Fails - Live', 'More Than Enough - Live', 'Set A Fire - Live', 'Freedom - Live', 'Miracles - Live', 'In The River - Live', 'Rooftops - Live']"
16880,The Prodigy,"['Breathe', 'Firestarter', 'Smack My Bitch Up', 'Out of Space', 'Omen', 'Voodoo People - Pendulum Mix', 'No Good (Start the Dance)', 'Voodoo People', 'Invaders Must Die', ""Warrior's Dance""]"
16749,The Mission,"['Bright As Yellow', 'Moon River', 'Lakes Of Canada', 'On Your Side', 'Over The Rainbow', 'Green Bus', 'What A Wonderful World', 'Spring', 'Edelweiss', 'Bye-Lo']"
1988,Blaque,"['Bring It All to Me (feat. *NSYNC)', '808', ""I'm Good - Radio Version"", 'As If - Radio Version', 'As If', 'When the Last Teardrop Falls (feat. Blaque Ivory)', 'Bring It All to Me - Single Version', 'I Do', 'Time After Time (feat. Blaque Ivory)', 'Right Next to Me (feat. Blaque Ivory)']"
7674,James Morrison,"['Broken Strings', 'You Give Me Something', ""I Won't Let You Go"", 'You Make It Real', 'Too Late For Lullabies', 'So Beautiful', 'Precious Love', 'Wonderful World', ""Please Don't Stop The Rain"", 'Stop Crying Your Heart Out - BBC Radio 2 Allstars']"
2582,Calming Sounds,"['Brown Noise - Loopable with No Fade', 'Serenity', 'Loopable Rain Shower for Sleep', 'Dark and Lovely Clouds with Thunder', 'Thunderstorm Noise Loopable', 'Foamy Figi Beach Waves', 'Music to Help You Sleep', 'Breathing Mindfulness', 'Quiet Rain', 'Radio Static - Loopable']"
11838,Nahko And Medicine For The People,"['Budding Trees', 'Garden', 'Black As Night', 'Tus Pies (Your Feet)', 'Love Letters to God', 'Wash It Away', 'Aloha Ke Akua', '7 Feathers', 'The Wolves Have Returned', 'Garden - Acoustic']"
5932,Freddy Martin & His Orchestra,"['Bumble Boogie', 'Piano Concerto in B-Flat (Tonight We Love)', 'To Each His Own', 'What a Difference a Day Made', 'The Hut-Sut Song (A Swedish Serenade)', ""I've Got a Lovely Bunch of Coconuts"", 'I Saw Stars', 'Manhattan', 'Trouble in Paradise', 'Johnny Doughboy Found a Rose in Ireland']"
5833,Franco Ricciardi,"['Buongiorno - feat. G-CREW', 'Treno Luntane', 'Primmavera', 'Che fa (feat. Franco Ricciardi)', ""'Nammurat E Te (feat. Franco Ricciardi)"", 'Prumesse - Deborah De Luca Remix', ""'O ssaje"", 'Madama blu', 'Ammore Senza Core', 'Prumesse Mancate']"
17161,The Whitest Boy Alive,"['Burning', '1517', 'Golden Cage', 'Serious', 'Intentions', 'Island', 'Fireworks', 'Inflation', ""Don't Give Up"", 'Done With You']"
5242,Erica Banks,"['Buss It', 'Buss It (feat. Travis Scott)', 'Toot That (feat. BeatKing)', 'Throw Dat', 'Trip Out', 'Rock Out', ""Hol' on"", 'Do What I Like', 'Hell Naw', 'Big Shit']"
7061,Hippo Campus,"['Buttercup', 'Bambi', 'Way It Goes', 'South', 'Suicide Saturday', 'baseball', 'warm glow', 'Monsoon', 'Golden', 'Simple Season']"
3304,Clinton,"['CHICKEN TENDIES', 'Drown (feat. Clinton Kane)', ""i don't want to watch the world end with someone else"", 'Fix It to Break It', 'remember the mornings', 'change ur mind', 'hopeless', 'forget about us', ""So I Don't Let Me Down"", 'Drown (feat. Clinton Kane) - Alle Farben Remix']"
12904,Pepper,"['Californication', 'Under the Bridge', ""Can't Stop"", 'Snow (Hey Oh)', 'Otherside', 'Scar Tissue', 'Dani California', 'By the Way', 'Give It Away', 'Dark Necessities']"
13672,Red Hot Chili Peppers,"['Californication', 'Under the Bridge', ""Can't Stop"", 'Snow (Hey Oh)', 'Otherside', 'Scar Tissue', 'Dani California', 'By the Way', 'Give It Away', 'Dark Necessities']"
15377,St. Paul & The Broken Bones,"['Call Me', 'Apollo', 'Flow with It (You Got Me Feeling Like)', 'Grass Is Greener', 'Sanctify', 'Like a Mighty River', 'GotItBad', 'All I Ever Wonder', 'Apollo - Radio Edit', ""I'll Be Your Woman""]"
16429,The Duke Of Iron,"['Calypsonian Invasion', 'Man Smart, Woman Smarter', 'Loving Woman Is Waste of Time', 'New York Mets', 'Last Train', 'Bambouche', 'Fifty Cents', 'Calypsonian Invasion', 'I Left Her Behind for You', 'Bei Mir Bist du Schoen']"
5778,Foxes,"['Can I Believe You', 'White Winter Hymnal', 'If You Need To, Keep Time on Me', 'Mykonos', 'Sunblind', 'Wading In Waist-High Water', 'Featherweight', 'Ragged Wood', 'Blue Ridge Mountains', 'Sunblind - Acoustic Version']"
15270,Soul For Real,"['Candy Rain', 'Every Little Thing I Do', 'Candy Rain - Heavy D & TrakMasterz Mix', ""Ain't No Sunshine"", 'If You Want It', 'Come See Me', 'All In My Mind', 'Every Little Thing I Do (Re-recorded / Remastered)', ""I Don't Know"", 'I Wanna Be Your Friend']"
8882,Keenan Wynn,"['Candy Store', 'When I Kissed The Teacher', 'Mamma Mia', 'Beautiful', 'Super Trouper', 'Big Fun', 'I Wonder (Departure)', 'Kisses Of Fire', 'The Me Inside of Me', 'Yo Girl']"
14359,SS-Say,"['Care', 'Fanfare', 'Transaction', 'Postcards and Reasons', 'Salt', '20th Century Superior', 'Cold Impressions of Perhaps', 'Almost', 'Light, More Light', 'Untitled']"
18601,Young-D,"['Case Closed', 'Penguins', 'On the River', 'Major', 'Sunshine', 'No Sense (feat. Key Glock)', 'What u see is what u get', 'Water on Water on Water', 'RNB (feat. Megan Thee Stallion)', 'Cheat Code']"
8187,Johann Sebastian Bach,"['Cello Suite No. 1 in G Major, BWV 1007: I. Prélude', 'The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846', 'Goldberg Variations, BWV 988: Aria', 'Unaccompanied Cello Suite No. 1 in G major, BWV 1007: I. Prélude', 'Air on a G String', 'Goldberg Variations, BWV 988: Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga', 'Orchestral Suite No. 3 in D Major, BWV 1068: 2. Air', 'Sheep May Safely Graze', ""Herz und Mund und Tat und Leben, Cantata BWV 147: Jesu, Joy Of Man's Desiring (Arr. For Piano By Myra Hess)"", 'Organ Sonata No. 4, BWV 528: 2. Andante [Adagio] (Transcr. by August Stradal)']"
6653,Grupo Toppaz De Reynaldo Flores,"['Celoso', 'Etapas De Mi Vida', 'Triste Y Solitario', 'Amándote', 'Felicidad', 'Muchacho Pobre', 'Esa Pared', 'Fue Su Voz', 'Rosas Rojas', 'Mariposa']"
12551,Out,"['Centuries', ""Sugar, We're Goin Down"", 'Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)', 'Thnks fr th Mmrs', 'Dance, Dance', 'Immortals', 'My Songs Know What You Did In The Dark (Light Em Up)', ""I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)"", 'The Phoenix', 'Uma Thurman']"
12312,Ocean,"['Chanel', 'Godspeed', 'Pink + White', 'Ivy', 'Nights', 'In My Room', 'White Ferrari', 'Self Control', 'Lost', 'Thinkin Bout You']"
