,Artist,Genres,Followers,Popularity
73,3rd Bass,"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']",86188,37
74,3rd Strike,"['nu metal', 'rap rock']",6930,29
75,4 Non Blondes,"['new wave pop', 'pop rock']",316224,68
76,4 P.M.,"['anime rock', 'vocaloid']",3290,31
77,4 Skins,"['oi', 'punk', 'ska']",30151,34
78,4 Strings,"['bubble trance', 'dutch trance', 'trance', 'uplifting trance', 'vocal trance']",33998,51
79,40 Thieves,"['balearic', 'nu disco']",26626,37
80,42 Dugg,"['detroit trap', 'rap', 'southern hip hop', 'trap']",6742066,93
81,42nd Street Ensemble,['broadway'],32,20
82,45,['trap soul'],2927545,75
83,45 Grave,"['dark wave', 'deathrock', 'gothic rock', 'horror punk']",19211,30
84,4D,['environmental'],233292,60
85,4Him,"['christian alternative rock', 'christian music', 'worship']",55558,37
86,5 Seconds of Summer,"['boy band', 'dance pop', 'pop', 'post-teen pop']",7351345,84
87,50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",5019320,93
88,50 Guitars of Tommy Garrett,"['ballroom', 'easy listening']",1280,34
89,504 Boyz,"['dirty south rap', 'pop rap', 'southern hip hop']",66112,42
90,54-40,"['canadian indie', 'canadian rock']",40743,42
91,5th Ward Boyz,"['dirty south rap', 'dirty texas rap', 'gangster rap', 'houston rap']",51311,31
92,6 Dogs,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']",271958,65
93,69,['miami bass'],2060720,79
94,69 Boyz,['miami bass'],70954,45
95,6LACK,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",2855757,91
96,6ix9ine,['emo rap'],5617857,87
97,7 Seconds,"['hardcore', 'hardcore punk', 'melodic hardcore', 'punk', 'skate punk', 'straight edge']",34319,48
98,7 Skies,['uplifting trance'],1462023,74
99,7 Year Bitch,"['grunge', 'riot grrrl']",48879,35
100,702,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",505472,54
101,8-Bit Arcade,"['8-bit', 'scorecore']",32869,46
102,808 State,"['acid house', 'big beat', 'chicago house', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno']",80380,47
103,88-Keys,['alternative hip hop'],18064,53
104,88GLAM,"['canadian hip hop', 'melodic rap', 'rap', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']",355301,61
105,88rising,"['asian american hip hop', 'pop']",653374,71
106,8Ball,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'trap']",222951,52
107,8Ball & MJG,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']",222951,52
108,8kHz Mono,['futurepop'],497,8
109,90sFlav,['lo-fi beats'],72967,59
110,94 East,['minneapolis sound'],5081,24
111,98,"['boy band', 'dance pop']",557466,61
112,98º,"['boy band', 'dance pop']",310973,59
113,99 Souls,"['house', 'uk house']",22403,51
114,999,"['oi', 'pub rock', 'punk']",6046308,88
115,9K Breaks,['bboy'],4921,39
116,9lokknine,['florida rap'],5815225,82
117,9th Wonder,"['alternative hip hop', 'boom bap', 'hip hop', 'north carolina hip hop']",144381,61
118,? & The Mysterians,"['chicano punk', 'classic garage rock', 'detroit rock', 'freakbeat', 'protopunk', 'psychedelic rock']",30769,44
119,?uestlove,['philly rap'],1031400,66
120,A & Z,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",1548046,82
121,A Boogie Wit da Hoodie,"['melodic rap', 'pop rap', 'rap', 'trap']",5019320,93
122,A Boy Called Joni,['deep progressive trance'],194,12
123,A Camp,"['latin christian', 'latin worship', 'mariachi cristiano', 'reggaeton cristiano']",34968,47
124,A Certain Ratio,"['art rock', 'chamber psych', 'dance rock', 'dance-punk', 'experimental', 'industrial', 'new wave', 'no wave', 'post-punk', 'sophisti-pop', 'synthpop', 'uk post-punk']",24347,38
125,A Day To Remember,"['metalcore', 'pop punk', 'screamo']",1861098,76
126,A Few Good Men,['new jack swing'],122592,54
127,A Fine Frenzy,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock']",245158,50
128,A Flock Of Seagulls,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",395020,61
129,A Great Big World,"['indiecoustica', 'modern rock', 'neo mellow', 'piano rock', 'pop rock']",449787,69
130,A Guy Called Gerald,"['acid house', 'atmospheric dnb', 'drum and bass', 'madchester', 'techno']",16633,38
