,Artist,Genres,Followers,Popularity,Songs
2941,Erik Werba,['art song'],4008949,79,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']"
2942,Erkin Koray,['anadolu rock'],450070,58,"['Seni Her Gördüğümde', 'Sevince', 'Çöpçüler', 'Fesuphanallah', 'Tek Başına', 'Öyle Bir Geçer Zaman ki', 'Yalnızlar Rıhtımı', 'Arap Saçı', 'Cemalım', 'Mesafeler']"
2943,Ernest Ansermet,"['historic orchestral performance', 'orchestral performance']",261298,55,"['The Rite of Spring: Part One: Adoration of the Earth: Introduction', 'Piano Sonata in F-Sharp Minor: III. Andante', ""The Firebird (L'oiseau De Feu) - Suite (1919): Finale"", 'Firebird Suite - 1919 Version', 'Stravinsky: Suite After Themes, Fragments and Pieces by Giambattista Pergolesi: Gavotta con due variazioni', 'The Rite of Spring: Part One: Adoration of the Earth: The Augurs of Spring - Dance of the Young Girls', 'Elegy for Solo Viola', 'The Rite of Spring: Part Two: The Sacrifice: Sacrificial Dance (The Chosen One)', 'Chanson russe', 'Funeral Song, Op. 5']"
2944,Ernest Hemingway,['reading'],220644,56,"['Came Out Swinging', ""I Don't Like Who I Was Then"", 'Passing Through A Screen Door', 'Brakeless', 'Out On My Feet', 'There, There', 'Cigarettes & Saints', 'Sister Cities', 'Cardinals', 'Living Room Song']"
2945,Ernest Macmillan,['canadian classical'],3140359,81,"['Cello Suite No. 1 in G Major, BWV 1007: I. Prélude', 'The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846', 'Goldberg Variations, BWV 988: Aria', 'Unaccompanied Cello Suite No. 1 in G major, BWV 1007: I. Prélude', 'Air on a G String', 'Goldberg Variations, BWV 988: Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga', 'Orchestral Suite No. 3 in D Major, BWV 1068: 2. Air', 'Sheep May Safely Graze', ""Herz und Mund und Tat und Leben, Cantata BWV 147: Jesu, Joy Of Man's Desiring (Arr. For Piano By Myra Hess)"", 'Organ Sonata No. 4, BWV 528: 2. Andante [Adagio] (Transcr. by August Stradal)']"
2946,Ernest Ranglin,"['afrobeat', 'afropop', 'dub', 'funk', 'reggae', 'rock steady', 'roots reggae', 'ska', 'world']",40235,51,"[""Surfin'"", '54-46 (Was My Number)', 'Below The Bassline', 'In The Rain', 'Congo Man', 'King Tubby Meets The Rockers', ""Everybody's Talking"", 'Satta Massagana', 'Black Disciples', 'Just Friends']"
2947,Ernie,"['disney', 'movie tunes']",6300,60,"['Hakuna Matata - From ""The Lion King""/Soundtrack', 'Can You Feel the Love Tonight - From ""The Lion King"" / Soundtrack Version', 'Hakuna Matata', 'Keep It Gay', ""Let's Not Talk About Anything Else But Love"", 'We Can Do It', 'Happy/Sad', 'Where Did We Go Wrong', 'Sue Me', 'Morticia']"
2948,Ernie Henry,['jazz saxophone'],484466,58,"[""'Round Midnight"", ""I'm Confessin' (That I Love You)"", 'Straight, No Chaser', 'Ruby, My Dear', ""Monk's Dream - Take 8"", 'Dinah (Take 2)', 'An Oscar For Treadwell - Incomplete 411-1', 'Bye-Ya', 'Leap Frog - Take 11 / Take 6 / Master Take', 'Blue Monk']"
2949,Ernie Sabella,"['disney', 'movie tunes']",6300,60,"['Hakuna Matata - From ""The Lion King""/Soundtrack', 'Can You Feel the Love Tonight - From ""The Lion King"" / Soundtrack Version', 'Hakuna Matata', 'Keep It Gay', ""Let's Not Talk About Anything Else But Love"", 'We Can Do It', 'Happy/Sad', 'Where Did We Go Wrong', 'Sue Me', 'Morticia']"
2950,Ernst Haefliger,['classical tenor'],3140359,81,"['Cello Suite No. 1 in G Major, BWV 1007: I. Prélude', 'The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846', 'Goldberg Variations, BWV 988: Aria', 'Unaccompanied Cello Suite No. 1 in G major, BWV 1007: I. Prélude', 'Air on a G String', 'Goldberg Variations, BWV 988: Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga', 'Orchestral Suite No. 3 in D Major, BWV 1068: 2. Air', 'Sheep May Safely Graze', ""Herz und Mund und Tat und Leben, Cantata BWV 147: Jesu, Joy Of Man's Desiring (Arr. For Piano By Myra Hess)"", 'Organ Sonata No. 4, BWV 528: 2. Andante [Adagio] (Transcr. by August Stradal)']"
2951,Eros Ramazzotti,"['italian adult pop', 'mexican pop']",1433312,72,"['La Cosa Mas Bella', 'Otra Como Tu', 'Cosas De La Vida (Cose Della Vita)', 'Se bastasse una canzone', 'Più bella cosa', ""Un'emozione per sempre"", 'Por Ti Me Casare', 'Fuego en el Fuego', 'Musica è', 'I Belong to You (Il ritmo della passione)']"
2952,Erotica,"['dance pop', 'escape room', 'hyperpop', 'transpop']",4949053,80,"['Hung Up', 'Material Girl', 'Like a Prayer', 'Like a Virgin', 'La Isla Bonita', '4 Minutes (feat. Justin Timberlake & Timbaland)', 'Vogue', ""Papa Don't Preach"", 'Like a Prayer', 'Crazy for You - Edit']"
2953,Erro,"['adult standards', 'bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz piano', 'swing', 'vocal jazz']",1900791,72,"['My Own Summer (Shove It)', 'Change (In the House of Flies)', 'Be Quiet and Drive (Far Away)', 'Passenger', 'Digital Bath', 'Minerva', 'Back to School (Mini Maggit)', 'Ohms', 'Sextape', 'Genesis']"
2954,Erroll Garner,"['adult standards', 'bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz piano', 'swing', 'vocal jazz']",67153,53,"['Misty - Remastered 2020', 'Sunny', 'Misty', ""I'm In The Mood For Love"", 'Misty', 'Lovely to Look At - Remastered 2020', 'Wild Music', 'Everything Happens To Me', 'High Wire', 'Lullaby of Birdland']"
2955,Erutan,"['medieval folk', 'otacore']",65749,53,"['Come Little Children', 'The Willow Maid', 'For the Dancing and the Dreaming', 'The Dragonborn Comes - Skyrim', 'Itsumo Nando Demo (Always With Me)', 'Transylvanian Lullaby', 'Jabberwocky', 'Winter Moon', ""You're Not Alone - Final Fantasy IX"", 'Branle Des Chevaux']"
2956,Erykah Badu,"['afrofuturism', 'hip hop', 'neo soul', 'r&b', 'soul', 'urban contemporary']",2074587,71,"['On & On', ""Didn't Cha Know"", 'Appletree', 'Next Lifetime', 'Other Side Of The Game', 'Window Seat', 'The Healer', 'Hello', 'Bag Lady', 'In Love With You']"
2957,Esa-Pekka Salonen,"['classical performance', 'finnish contemporary classical', 'nordic contemporary classical', 'orchestral performance']",400188,65,"['Lyric Pieces, Book 5, Op. 54: Nocturne', 'Peer Gynt Suite No. 1, Op. 46: Morning Mood - Arr. for Piano', 'Piano Concerto In A Minor, Op.16: 2. Adagio - Live', 'Piano Concerto in A Minor, Op.16: I. Allegro molto moderato', 'Lyric Pieces, Book 9, Op. 68: Badnlat (Cradle Song)', 'Peer Gynt, Op. 23: IV. In the Hall of the Mountain King', 'Lyric Pieces Book II, Op.38: 1. Berceuse', 'Pièces Lyriques, Op. 47 No. 3: Mélodie', 'Peer Gynt, Op. 23: Act II, 7, In the Hall of the Mountain King', ""Peer Gynt-Suite Nr. 1, Op. 46: III. Anitra's Dance""]"
2958,Esbjörn Svensson Trio,"['contemporary jazz', 'ecm-style jazz', 'jazz fusion', 'jazz trio', 'modern jazz trio', 'swedish jazz']",100106,51,"[""From Gagarin's Point of View"", 'Where We Used To Live', 'Believe, Beleft, Below', 'Seven Days of Falling', 'Elevation of Love', 'Tide of Trepidation - Live', 'I Mean You', 'Dodge the Dodo', ""'Round Midnight"", 'Ballad for the Unborn']"
2959,Escadia,['bulgarian electronic'],64827,66,"['Estadia', 'No Te Asustes - Remix', 'Que Tu Dice?', 'A Mi Manera', 'Subimos de Rango', 'Ballin', 'Blanco Negro - Remix', 'Malos Ratos', 'Miami', 'Punto Medio - Unplugged']"
2960,Escape the Fate,"['alternative metal', 'metalcore', 'pixie', 'pop punk', 'screamo']",983898,66,"['Situations', 'One For the Money', 'Broken Heart', ""Not Good Enough For Truth In Cliche'"", 'Not My Problem (feat. Travis Barker)', 'This War Is Ours (The Guillotine II)', 'Invincible (feat. Lindsey Stirling)', 'My Apocalypse', 'Unbreakable', 'Ashley']"
2961,Escolta De Guerra,"['corrido', 'deep regional mexican', 'regional mexican']",1152424,65,"['La Hummer Y El Camaro', 'Y Ahora Resulta', 'El de Arriba', 'Muchacho De Campo', 'Comandos Del M.P (500 Balazos)', 'El Trampolín', 'La Hummer Y El Camaro 2 ""La Revancha""', 'Por Si Estás Con el Pendiente', 'Levantando Polvadera', 'Eres Mi Cenicienta']"
2962,Eslabon Armado,"['corridos tumbados', 'nuevo regional mexicano', 'sierreno']",660623,77,"['Con Tus Besos', 'Mi Vicio', 'La Mejor de Todas', 'Ando Más Que Mal', 'Baby', 'Dame Tu Calor', 'Me Prendes', 'Mi Historia Entre Tus Dedos', 'Te Encontré', 'Tal Vez']"
2963,Esone,['bboy'],3535041,68,"['5 Letras', 'Una En Un Millón', 'Mala Conducta (feat. Franco El Gorila)', 'Camuflaje', 'Soy Igual Que Tú (feat. Toby Love)', 'Rompe La Cintura', 'Donde Estés Llegaré', 'Me Quiere Besar', 'El Tiburon', 'Energía']"
2964,Esperanza Spalding,"['electric bass', 'jazz fusion', 'jazz pop', 'neo soul', 'vocal jazz']",284722,51,"['I Know You Know', 'Lest We Forget (blood)', 'Precious', 'Thang (hips)', 'Judas', 'You Have to Dance (feet)', ""I Can't Help It"", 'Ponta De Areia', 'formwela 1', 'Espera']"
2965,Esperanza de Vida,"['adoracion', 'latin christian', 'latin worship']",303688,52,"['Precioso Jesús', 'Me rindo ante ti', 'Toda la Gloria', 'Roca eterna', 'Fuente de vida', 'Anhelo tu Presencia', 'Santo Espíritu', 'Grande y Poderoso', 'Hoy es Tiempo', 'Me has hecho libre']"
2966,Espinoza Paz,"['banda', 'corrido', 'ranchera', 'regional mexican']",1717956,81,"['El Tóxico', 'Me La Avente', 'Tú', 'El Amor De Tu Vida', 'CAMBIA!', 'Si Tu Amor No Vuelve - Live', 'La Farsante', 'Amor Borrachito', 'Te Vi Con El', 'Como Duele Equivocarse']"
2967,Esteban Gabriel,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'regional mexican', 'sierreno']",243700,67,"['Tirando la H', 'Piel de Seda', 'Hay Niveles', 'Bajo Efecto Del Alcohol', 'Maryjane y Blancanieves', 'Videos y Fotos', 'Con Un Presidente', 'Noche de Desmadre', 'Diablitos', 'Tirando La H']"
2968,Estelle,"['neo soul', 'r&b']",217504,70,"['American Boy', 'American Boy - Lost Frequencies Remix', 'Oh No', 'Come Over', 'American Boy - Brooks Remix', 'Come Over - Radio Version', 'Freak', 'Do My Thing', 'Set Me On Fire', 'No Substitute Love']"
2969,Esther,"['electronica', 'trip hop']",3624065,79,"['Sad (feat. Afrojack)', 'Up All Night (feat. Afrojack)', 'Hey Baby (feat. Gia Koka)', 'Stay Mine', 'Boom Boom Pow', 'Return of the Mack (feat. Afrojack)', 'We Got That Cool (feat. Afrojack & Icona Pop)', 'Ten Feet Tall', 'All Night (feat. Ally Brooke)', 'Say My Name (feat. Bebe Rexha & J Balvin) - Afrojack & Chasner Remix']"
2970,Estopa,"['pop flamenco', 'rumba', 'spanish pop']",1246766,72,"['Tu Calorro', 'Como Camarón', 'Vino Tinto', 'Por la Raja de Tu Falda', 'Paseo', 'Fuego', 'El Run Run (with Rosario)', 'Cacho a Cacho', 'Ya No Me Acuerdo', 'Me Falta el Aliento']"
2971,Estrella,['banda caliente'],568,64,"['Viento Estelar', 'Universo', 'Cosmos', 'Estrellas', 'Saturno', 'Espacio Profundo', 'Expansion', 'Galaxia', 'àrbitas', 'Multiverso']"
2972,Estrellita,['musica para ninos'],2094036,75,"['Bachata Rosa', 'El Ultimo Adiós - Varios Artistas Version', 'Burbujas de Amor', 'Mi Bendición', 'La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012', 'Bachata En Fukuoka', 'La Bilirrubina', 'Las Avispas', 'Tus Besos', 'Frío, Frío - En Vivo Estadio Olímpico De República Dominicana/2012']"
2973,Eternal,"['dark trap', 'emo rap', 'underground hip hop']",113297,66,"['Eternal Youth', 'Loneliness', 'Eternal Youth VIP', 'Forever Lotus', '22 Samurai', 'Fallen Youth', 'Rising Light', 'Moon Angels', 'Shinobi', 'Gemini']"
2974,Ethereal,"['underground hip hop', 'vapor trap']",337,51,"['Ethereal', 'Glacier', 'Waiting']"
2975,Etta James,"['adult standards', 'jazz blues', 'soul', 'soul blues', 'torch song', 'vocal jazz']",1167287,71,"['At Last', ""I'd Rather Go Blind"", 'A Sunday Kind Of Love', 'I Just Want To Make Love To You - Single Version', ""Something's Got A Hold On Me"", 'Stormy Weather', 'Do Right Woman, Do Right Man', 'All I Could Do Was Cry', 'Trust In Me', 'Miss You']"
2976,Eugen Jochum,['orchestral performance'],457916,61,"['Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante', 'Fantasia in D Minor, K.397', 'Requiem, K. 626: Lacrimosa', 'Symphony No.25 in G minor, K.183: 1. Allegro con brio', 'Piano Sonata No. 16 in C Major, K. 545 ""Sonata facile"": 1. Allegro', 'Adagio in E Major, K. 261', 'Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro', 'Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa', 'Symphony No. 40 in G Minor, K. 550: I. Molto allegro', 'Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio']"
2977,Eugene Bowen,['post-minimalism'],59392,59,"['Sea, Swallow Me', 'Olancha Farewell', 'Against The Sky - 2005 Digital Remaster', 'A Stream With Bright Fish - 2005 Digital Remaster', 'The Plateaux Of Mirror - 2004 Digital Remaster', 'First Light - 2004 Digital Remaster', 'Late October - 2005 Digital Remaster', 'Foreshadowed - 2005 Digital Remaster', 'The Pearl - 2005 Digital Remaster', 'An Arc Of Doves - 2004 Digital Remaster']"
2978,Eugene Goossens,['british modern classical'],3140359,81,"['Cello Suite No. 1 in G Major, BWV 1007: I. Prélude', 'The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846', 'Goldberg Variations, BWV 988: Aria', 'Unaccompanied Cello Suite No. 1 in G major, BWV 1007: I. Prélude', 'Air on a G String', 'Goldberg Variations, BWV 988: Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga', 'Orchestral Suite No. 3 in D Major, BWV 1068: 2. Air', 'Sheep May Safely Graze', ""Herz und Mund und Tat und Leben, Cantata BWV 147: Jesu, Joy Of Man's Desiring (Arr. For Piano By Myra Hess)"", 'Organ Sonata No. 4, BWV 528: 2. Andante [Adagio] (Transcr. by August Stradal)']"
2979,Eugene Istomin,['american classical piano'],87169,53,"[""Sadko: Hindu Song (arr. N. Mercz): Hindu Song from the Opera 'Sadko'"", 'Scheherazade: The Tale of the Kalendar Prince', 'Flight of the Bumblebee', 'Tsar Saltan, Op. 57: Flight of the Bumblebee', 'Rimsky Korsakov: Scheherazade, Op. 35: II. The Story of the Kalender Prince (Opening)', ""Scheherezade, Op. 35: I. The Sea and Sinbad's Ship"", 'Sadko: Song Of India', 'The Tale Of Tsar Saltan: 3. The Flight Of The Bumble-Bee', 'The Tale Of Tsar Saltan: The Flight Of the Bumble-Bee (Arr. by J. Strimer)', 'The Tale Of Tsar Saltan - Arr. Grigory Feygin: The Flight Of The Bumble-Bee']"
2980,Eugene Ormandy,"['classical performance', 'orchestral performance']",3811803,76,"['Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto', 'Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio', 'Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59', 'Für Elise, WoO 59', 'Moonlight Sonata (First Movement from Piano Sonata No. 14, Op. 27 No. 2)', 'Piano Sonata No. 14 in C-sharp minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto', 'Beethoven: Piano Sonata No. 8 in C Minor, Op. 13, ""Pathétique"": II. Adagio cantabile', 'Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": 2. Adagio un poco mosso', 'Wind Quintet in E-Flat Major, WoO 208, Hess 19: II. Adagio maestoso', 'Piano Sonata No. 8 in C minor, Op. 13, ""Pathétique"": II. Adagio cantabile']"
2981,Eurielle,['epicore'],60545,57,"['City of the Dead', 'Hate Me', 'Carry Me', 'Song of Durin', 'The Bridge Of Khazad-Dum (from ""The Lord Of The Rings"")', 'Space Man', 'Lament For Thorin', ""Lúthien's Lament"", ""Je t'Adore"", 'Far Across The Land']"
2982,Europa Galante,"['baroque ensemble', 'classical performance', 'historically informed performance', 'italian baroque ensemble']",1749719,74,"['Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156)', 'The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto', 'The Four Seasons - Summer in G Minor, RV. 315: III. Presto', 'Vivaldi: Violin Concerto in G Minor, RV 315 ""L\'estate"" (No. 2 from ""Il cimento dell\'armonia e dell\'inventione"", Op. 8): III. Presto', 'The Four Seasons - Winter in F Minor, RV. 297: I. Allegro non molto', 'Concerto for Lute, 2 Violins and Continuo in D major, RV 93: 2. Largo (Arr. for Guitar)', 'Concerto For 2 Mandolins, Strings And Continuo In G, RV 532: 3. Allegro', 'Vivaldi: Violin Concerto in E Major, RV 269, No. 1, Spring: I. Allegro', 'Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto', 'Nulla in mundo pax, RV 630: 1. Nulla in mundo pax']"
2983,Europe,"['album rock', 'glam metal', 'hard rock', 'rock', 'swedish hard rock', 'swedish melodic rock']",1033290,69,"['The Final Countdown', 'Carrie', 'Rock the Night', 'The Final Countdown', 'Open Your Heart', 'Superstitious', 'Cherokee', 'The Final Countdown - Remixed', 'Tomorrow', ""I'll Cry For You""]"
2984,Eurythmics,"['art rock', 'dance pop', 'dance rock', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'sophisti-pop', 'synthpop']",1267449,72,"['Sweet Dreams (Are Made of This) - Remastered', 'Here Comes the Rain Again - Remastered Version', 'Miracle of Love - Remastered Version', 'Thorn in My Side - Remastered Version', ""Sisters Are Doin' It for Themselves - Remastered Version"", 'There Must Be an Angel (Playing with My Heart)', 'I Saved the World Today - Remastered', 'Would I Lie to You? - Remastered Version', 'When Tomorrow Comes - Remastered Version', 'Sweet Dreams (Are Made Of This) - Steve Angello Remix Edit']"
2985,Eva Cassidy,"['adult standards', 'folk', 'lilith', 'mellow gold', 'vocal jazz']",330179,62,"['Fields Of Gold', 'Songbird', 'Time After Time', 'Over the Rainbow', 'Imagine', ""Kathy's Song"", 'Autumn Leaves', 'Wade In The Water', 'True Colors', 'At Last']"
2986,Eva Maria,['classical soprano'],562542,58,"['Tu Eterno Enamorado', 'Eva Maria', 'El Alacrán', 'Si Tu No Estas', 'El Teterete', 'Tu Eterno Enamorado - Live Version', 'Mil Gracias', 'Tumbando Caña (El Alacrán)', 'Eva María - Live Version', 'Pero Te Amo - Live Version']"
2987,Eva Marton,['classical soprano'],101165,52,"['Amigos Para Siempre', 'Di Capua: O sole mio - Live', 'La traviata / Act 1: ""Libiamo ne\'lieti calici"" - Live', 'Funiculì, funiculà - Live', ""Core 'ngrato - Live"", 'Turandot / Act 3: ""Nessun dorma"" - Live', 'Ave Maria, dolce Maria', 'Com he fet sempre (My Way)', 'Rigoletto: ""Questa o Quella""', '_: Puccini: Nessun dorma (None shall sleep) [Turandot] - Live']"
2988,Eva Simons,"['dutch pop', 'electropop']",3624065,79,"['Sad (feat. Afrojack)', 'Up All Night (feat. Afrojack)', 'Hey Baby (feat. Gia Koka)', 'Stay Mine', 'Boom Boom Pow', 'Return of the Mack (feat. Afrojack)', 'We Got That Cool (feat. Afrojack & Icona Pop)', 'Ten Feet Tall', 'All Night (feat. Ally Brooke)', 'Say My Name (feat. Bebe Rexha & J Balvin) - Afrojack & Chasner Remix']"
2989,Evaluna Montaner,['pop venezolano'],8216929,90,"['BEBÉ', 'Vida de Rico', 'Machu Picchu', 'Ropa Cara', 'Tattoo - Remix with Camilo', 'Despeinada', 'Si Me Dices Que Sí', 'El Mismo Aire - con Pablo Alborán', 'La Mitad', 'Favorito']"
2990,Evan Rachel Wood,['hollywood'],341847,75,"['Into the Unknown', 'Let It Go - From ""Frozen""/Soundtrack Version', 'Show Yourself', 'Some Things Never Change', 'For the First Time in Forever - From ""Frozen""/Soundtrack Version', 'For the First Time in Forever (Reprise) - From ""Frozen""/Soundtrack Version', 'Seasons of Love', ""I'm Every Woman"", 'Defying Gravity - From ""Wicked"" Original Broadway Cast Recording/2003', 'Take Me or Leave Me']"
2991,Evanescence,['alternative metal'],3018616,76,"['Bring Me To Life', 'My Immortal', 'Going Under', ""Call Me When You're Sober"", ""Everybody's Fool"", 'Lithium', 'Hello', 'Tourniquet', 'Broken Pieces Shine', 'Better Without You']"
2992,Evans Blue,"['alternative metal', 'canadian rock', 'christian rock', 'gymcore', 'nu metal', 'post-grunge', 'rap rock']",212653,53,"['Erase My Scars', ""This Time It's Different"", 'Destroy The Obvious', ""Cold (But I'm Still Here) - Single Version"", 'Beyond The Stars', 'Say It', 'Beg', 'Over', 'Halo', 'A Cross and a Girl Named Blessed']"
2993,Eve,"['anime', 'anime rock']",26614287,92,"['Jocelyn Flores', 'SAD!', 'Hope', 'Moonlight', 'Everybody Dies In Their Nightmares', 'changes', 'Fuck Love (feat. Trippie Redd)', 'the remedy for a broken heart (why am I so in love)', 'Falling Down - Bonus Track', 'Look At Me!']"
2994,Eve 6,"['alternative metal', 'alternative rock', 'pop rock', 'post-grunge']",306209,58,"['Inside Out', ""Here's to the Night"", 'Think Twice', 'Promise', 'Open Road Song', 'you were right', 'black nova', 'On The Roof Again', 'Leech', 'Tongue Tied']"
2995,"Evelyn ""Champagne"" King","['disco', 'funk', 'minneapolis sound', 'motown', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",224652,56,"['Love Come Down - Single Version', 'Love Come Down', 'Shame', ""I'm In Love"", 'The Show Is Over', 'I Think My Heart Is Telling', 'Love Come Down - 12"" Version', ""Betcha She Don't Love You"", 'Aquarius / Let the Sun Shine In', 'Get Loose']"
2996,Everclear,"['alternative metal', 'alternative rock', 'permanent wave', 'pop rock', 'post-grunge', 'rock']",661834,62,"['Santa Monica', 'Father Of Mine', 'Wonderful', 'I Will Buy You A New Life', 'Everything To Everyone', 'Heroin Girl', 'AM Radio', 'Local God - Remastered', 'So Much For The Afterglow', 'Amphetamine']"
2997,Everlast,['rap rock'],3437165,76,"['Lonely Boy', 'Gold on the Ceiling', ""Howlin' for You"", 'Little Black Submarines', 'Lo/Hi', 'Tighten Up', 'Fever', 'Shine A Little Light', 'Weight of Love', 'Everlasting Light']"
2998,Every Avenue,"['neon pop punk', 'pop emo', 'pop punk']",133100,52,"[""Tell Me I'm A Wreck"", 'Only Place I Call Home', 'Mindset', 'Take Me Home Tonight', 'Girl Like That', 'I Forgive You', 'For Always, Forever', 'Picture Perfect', 'Fall Apart', 'Between You And I']"
2999,Every Time I Die,"['buffalo ny metal', 'chaotic hardcore', 'melodic metalcore', 'metalcore', 'post-hardcore', 'screamo']",176811,55,"['AWOL', 'Map Change', 'It Remembers', 'The New Black', 'A Colossal Wreck', 'Desperate Pleasures', 'Wanderlust', 'Fear and Trembling', ""We'rewolf"", 'Glitches']"
3000,Everybody Loves an Outlaw,['modern blues rock'],33731,64,"['I See Red', 'Give Em Hell', 'Everybody Loves an Outlaw', 'Blood On A Rose', 'Wicked Ways', 'I See Red - Tut Tut Child Remix', 'I See Red - Albert Harvey Remix']"
3001,Everything,"['dance rock', 'electronica', 'lilith', 'new wave pop', 'pop rock', 'sophisti-pop', 'trip hop']",41594733,92,"['Therefore I Am', 'lovely (with Khalid)', 'bad guy', 'everything i wanted', ""when the party's over"", 'i love you', 'ocean eyes', 'idontwannabeyouanymore', 'you should see me in a crown', 'my future']"
3002,Everything But The Girl,"['dance rock', 'electronica', 'lilith', 'new wave pop', 'pop rock', 'sophisti-pop', 'trip hop']",225233,62,"['Missing - 2013 Remaster', 'Missing - Todd Terry Remix / Radio Edit', 'Missing - Todd Terry Club Mix / US Radio Edit', 'Night and Day - Single Version', ""I Don't Want to Talk About It - 2012 Remaster"", 'Wrong - 2015 Remaster', 'Missing - Todd Terry Club Mix', 'Tracey in My Room - Lazy Dog Bootleg Vocal Mix', 'The Only Living Boy in New York - 2013 Remaster', 'Each and Every One - 2012 Remaster']"
3003,Evgeny Kissin,"['classical performance', 'classical piano', 'russian classical piano']",560182,66,"['Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major', '6 Consolations, S. 172: No. 3 In D Flat Major (Lento, placido)', 'Liebestraum No. 3 in A-Flat Major, S. 541 / 3', 'Ständchen, S. 560 (Trans. from Schwanengesang No. 4, D. 957)', 'La campanella in G-Sharp Minor (From ""Grandes études de Paganini"", S. 141 / 3)', 'Consolation No. 3 in D-Flat Major, S. 172', 'Ständchen in D Minor (After Schubert), S. 560', 'Ständchen (From Schwanengesang, D957)', 'Ave Maria, S. 558 (after Schubert, D. 839)', 'Liebestraum']"
3004,Evgeny Mravinsky,"['historic orchestral performance', 'orchestral performance']",959572,71,"['Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scène (Moderato)', 'Variations on a Rococo Theme, Op. 33 for cello and orchestra: Var. VI: Andante', 'Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 13 Waltz of the Flowers', 'Album for the Young, Op. 39: No. 3. Mamma (Maman)', 'Six Pieces, Op. 51, TH 143: 6. Valse sentimentale. Tempo di Valse', 'Swan Lake', 'Serenade for Strings in C major, Op. 48: II. Walzer: Moderato, tempo di valse', 'El Lago De Los Cisnes - Op. 20, Acto II: 10. Scene (Moderato)', 'Tchaikovsky: The Nutcracker - Ballet, Op. 71, Act 1: No. 2 March', 'Tchaikovsky: The Nutcracker, Op. 71, Act 2: No. 14 Pas de deux']"
3005,Evidence,"['alternative hip hop', 'boom bap']",34869,56,"['Stand In Your Love (Radio Version)', 'Stand in Your Love (Live)', 'Evidence', 'Stand in Your Love', 'Let the Redeemed', 'Into the Wild', 'My Hands Are Open - Live', 'Peace', 'You Deserve It All', 'Praises (Be Lifted Up) - Live']"
3006,Evil Ebenezer,"['bc underground hip hop', 'canadian hip hop', 'deep underground hip hop', 'outer hip hop']",323245,66,"['Sunshine', 'Out for Action', 'Ski Mask Way (feat. Merkules)', 'Be Somebody (feat. Snak the Ripper)', 'Dark Skies', 'Monday', 'Wake Up', 'On Us', 'With You', 'Toxic']"
3007,Ewan McGregor,['hollywood'],25720,58,"['Be Our Guest', 'Something There', 'Days In The Sun', 'Your Song - From ""Moulin Rouge"" Soundtrack', 'El Tango De Roxanne - From ""Moulin Rouge"" Soundtrack', 'Come What May - From ""Moulin Rouge"" Soundtrack', 'Elephant Love Medley - From ""Moulin Rouge"" Soundtrack', 'The Mob Song', 'Come What May - Original Film Version', 'Toast to Freedom - Long Version']"
