,Artist,Genres,Followers,Popularity,Songs
18,10cc,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']",460069,65,"[""I'm Not In Love"", 'Dreadlock Holiday', 'The Things We Do For Love', 'Good Morning Judge', 'Rubber Bullets', 'Dreadlock Holiday', 'Honeymoon With B Troop', 'The Wall Street Shuffle', ""I'm Mandy Fly Me"", ""I Don't Like Cricket - I Love It (Dreadlock Holiday) (Live Version)""]"
19,11/5,"['g funk', 'hyphy']",61716,52,"['Raak Jezelf Niet Kwijt', 'Lily Was Here', '11:58', 'Pick Up The Pieces', 'For The Love of You', 'For The Love of You', ""How It's Done"", 'My Funk', ""Don't Go"", 'Saxuality']"
20,112,"['atl hip hop', 'boy band', 'dance pop', 'gangster rap', 'hip pop', 'new jack swing', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",803438,69,"['Peaches & Cream', 'Only You (feat. The Notorious B.I.G. & Mase) - Bad Boy Remix', 'Cupid', 'Dance With Me', ""It's Over Now"", 'Only You (feat. The Notorious B.I.G.) - Radio Mix', 'Peaches & Cream (feat. P. Diddy)', 'Anywhere', 'U Already Know', 'Dance With Me (feat. Beanie Sigel) - Remix']"
21,12 Stones,"['alternative metal', 'christian alternative rock', 'christian hard rock', 'christian rock', 'nu metal', 'post-grunge', 'rap rock']",323629,55,"['Anthem For The Underdog', 'We Are One', 'World So Cold', 'Broken', 'Adrenaline', 'Lie To Me - Acoustic', 'Lie To Me', 'We Are One - WWE Mix', 'Crash', 'This Dark Day']"
22,1927,['la indie'],3255009,75,"['1979 - Remastered 2012', 'Bullet With Butterfly Wings - Remastered 2012', 'Tonight, Tonight - Remastered 2012', 'Disarm - Remastered', 'Cherub Rock - Remastered 2011', 'Today - Remastered', 'Zero - Remastered 2012', 'Drown', 'Landslide - Remastered', 'Today']"
23,2 Brothers On The 4th Floor,"['bubblegum dance', 'eurodance', 'europop', 'happy hardcore', 'hip house']",64865,55,"['Dreams (Will Come Alive)', 'Never Alone', 'Come Take My Hand - Extended Version', 'Fairytales', 'Fly', 'Come Take My Hand', 'Let Me Be Free', 'Never Alone - Re-Style Remix', 'Living In Cyberspace - Radio Version', ""Can't Help Myself""]"
24,2 Chainz,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",6259576,83,"[""It's A Vibe"", 'Grey Area', 'We Own It (Fast & Furious)', '4 AM', 'X (with 2 Chainz & Saudi)', 'Champions', 'Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)', 'Alive (with Offset & 2 Chainz)', 'Bigger Than You (feat. Drake & Quavo)', 'Feel A Way (feat. Kanye West & Brent Faiyaz)']"
25,2 LIVE CREW,"['electro', 'gangster rap', 'hip hop', 'hip house', 'miami bass', 'miami hip hop', 'old school hip hop', 'rap']",326985,52,"['We Want Some P--sy', 'Me So Horny', 'Hoochie Mama', 'Pop That P--sy', 'One And One', 'Dirty Nursery Rhymes', 'Get It Girl', 'Do Wah Diddy', 'The F--k Shop', ""Throw The 'D'""]"
26,2 Unlimited,"['bubblegum dance', 'eurodance', 'europop', 'hip house']",158665,59,"['No limit - RAP VERSION', 'Get Ready - Rapversion Edit', 'Twilight Zone', 'Tribal Dance', 'Get Ready - Steve Aoki Vocal Radio Edit', 'Jump For Joy', 'The Real Thing', 'No One', 'Let the Beat Control Your Body', 'Get Ready - Orchestral Mix']"
27,20 Fingers,"['eurodance', 'hip house']",9380,51,"['Short Dick Man - Club Mix', 'Lick It - 20 Fingers Radio Mix', 'Short Dick Man - Radio Mix', 'Lick It - 20 Finger Club Mix', 'Mr. Personality', 'Short Dick Man - Bass Mix', 'Lick It - Acappella', 'Short Dick Man - Dub Mix', 'Short Dick Man - J.J. Energy Mix', 'Short Dick Man - Accapella']"
28,20/20,"['atl hip hop', 'dirty south rap', 'southern hip hop', 'trap']",2855757,91,"['Calling My Phone', 'F.N', 'Headshot (feat. Polo G & Fivio Foreign)', 'Pop Out (feat. Lil Tjay)', 'Sex Sounds', 'Run It Up (feat. Offset & Moneybagg Yo)', 'Leaked', 'Move On - Bonus', 'Zoo York (feat. Fivio Foreign & Pop Smoke)', 'Hold On']"
29,2002,"['new age', 'operatic pop']",7498646,83,"['2002', 'FRIENDS', ""Don't Play"", ""fuck, i'm lonely (with Anne-Marie)"", 'Rewrite The Stars (with James Arthur & Anne-Marie)', 'To Be Young (feat. Doja Cat)', 'Perfect to Me', 'Birthday', 'Her', 'Come Over (feat. Anne-Marie & Tion Wayne)']"
30,21 Savage,"['atl hip hop', 'rap', 'trap']",2501035,75,"['Opp Stoppa (feat. 21 Savage)', 'Opp Stoppa', 'Bounce Out With That', 'Rubbin off the Paint', '2 Seater (feat. G-Eazy & Offset)', 'Porsches In The Rain', 'Wake Up', 'Fast Car Music (STAIN)', 'Soul Train', 'WooWAM']"
31,24hrs,"['trap', 'trap soul', 'underground hip hop', 'vapor trap']",363621,67,"['UCLA', 'I Wanna Know', 'Take It Away', 'Stinger', 'Undo - AWAY Remix', 'Formula', 'Atoms - Said the Sky Remix', 'Take It Away - Alexander Lewis Remix', 'Stay For It', 'Outta Here']"
32,24kGoldn,['cali rap'],956249,87,"['Mood (feat. iann dior)', 'Tick Tock (feat. 24kGoldn)', 'Mood (Remix) feat. Justin Bieber, J Balvin & iann dior', 'CITY OF ANGELS', 'Coco (feat. DaBaby)', 'VALENTINO', 'Company (feat. Future)', '3, 2, 1', 'Tinted Eyes (feat. blackbear & 24kGoldn)', 'Love Or Lust']"
33,27CLUB,"['emo rap', 'sad rap']",595761,76,"['ROXANNE', 'FML', 'NIGHTRIDER', 'No I in Team', 'Drinking Problem (feat. 27CLUB)', '24', 'Swerve', 'FAST', 'RIP', 'Homies']"
34,2CELLOS,"['bow pop', 'cello', 'classify']",1371017,79,"['Bust Your Windows', 'If I Die Young (Glee Cast Version)', ""Don't Stop Believin' (Glee Cast Version)"", 'Somewhere Only We Know (Glee Cast Version) (feat. Darren Criss)', 'Valerie - Glee Cast Version', 'Smooth Criminal (Glee Cast Version) (feat. 2CELLOS)', 'Total Eclipse Of The Heart (Glee Cast Version) (feat. Jonathan Groff)', 'Hopelessly Devoted To You (Glee Cast Version)', 'Cough Syrup (Glee Cast Version)', 'The Scientist (Glee Cast Version)']"
35,2KBABY,['kentucky hip hop'],218501,67,"['Like This', 'Old Streets', 'MAD', 'OLD STREETS (feat. Lil Durk) - Remix', 'Dreaming', 'FAXTS', '2kizzy Flow', 'HALF A MILLI (feat. YFN Lucci)', 'Rounds', 'OLD SOUL (feat. G Herbo)']"
36,2NE1,"['dance pop', 'k-pop', 'k-pop girl group', 'pop dance']",1811082,62,"['I Am The Best', 'COME BACK HOME', 'You and I (Park Bom)', '멘붕 - CL SOLO', 'FIRE', 'Goodbye', 'GOTTA BE YOU', 'Go Away', 'Falling In Love', ""I DON'T CARE""]"
37,2Pac,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",10272462,83,"['Ambitionz Az A Ridah', 'All Eyez On Me (ft. Big Syke)', 'Do For Love', 'Dear Mama', ""Hit 'Em Up - Single Version"", 'California Love - Original Version', 'Changes', 'Keep Ya Head Up', 'I Get Around', 'Hail Mary']"
38,2tone,['kawaii future bass'],23770,53,"['Riches', 'North Sac Baby', ""What's Hannin"", 'El Taliban', 'Patrullando', 'Overdose', 'Blue Faces', 'Success', 'Not the Same', '2tone Gman']"
39,3,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",60986881,96,"['positions', '34+35', '7 rings', 'Stuck with U (with Justin Bieber)', 'thank u, next', 'Rain On Me (with Ariana Grande)', 'pov', '34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix', 'motive (with Doja Cat)', 'God is a woman']"
40,3 Doors Down,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",3170147,74,"['Kryptonite', 'Here Without You', ""When I'm Gone"", ""It's Not My Time"", 'Here Without You - Acoustic', 'Be Like That', 'Loser', 'Away From The Sun', 'Kryptonite - Acoustic', 'Let Me Go']"
